Location,SessionId,matchId,GroupId,ClientId,Gender,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol
USC,D10S1,0,0,5,Male,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A
USC,D10S1,0,0,9,Female,20, TREE leader,5,5,5,5,5,5,5,5,5,5
USC,D10S1,0,1,2,Female,26, VOLCANO leader,3,0,3,3,3,0,N/A,N/A,N/A,N/A
USC,D10S1,0,1,0,Female,26, TREE leader,5,1,5,5,5,1,N/A,N/A,N/A,N/A
USC,D10S1,0,2,3,Male,32, VOLCANO leader,7,0,3,3,3,3,6,0,7,0
USC,D10S1,0,2,7,Female,20, TREE leader,4,2,5,5,3,5,4,2,N/A,N/A
USC,D10S1,0,3,4,Male,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A
USC,D10S1,0,3,8,Female,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A
USC,D10S1,0,4,6,Male,20, VOLCANO leader,5,2,3,3,3,3,4,2,5,2
USC,D10S1,0,4,1,Male,32, TREE leader,6,1,5,5,6,1,N/A,N/A,N/A,N/A
USC,D10S1,1,0,4,Male,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A
USC,D10S1,1,0,8,Female,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A
USC,D10S1,1,1,3,Male,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A
USC,D10S1,1,1,7,Female,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A
USC,D10S1,1,2,5,Male,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A
USC,D10S1,1,2,0,Female,20, TREE leader,6,1,5,5,5,1,6,1,N/A,N/A
USC,D10S1,1,3,6,Male,32, VOLCANO leader,6,1,3,3,6,1,N/A,N/A,N/A,N/A
USC,D10S1,1,3,9,Female,20, TREE leader,5,5,5,5,5,5,N/A,N/A,N/A,N/A
USC,D10S1,1,4,2,Female,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A
USC,D10S1,1,4,1,Male,20, TREE leader,6,1,5,5,5,5,5,4,6,1
