Location,SessionId,matchId,GroupId,ClientId,Gender,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol
USC,D10S2,0,0,8,Male,26, VOLCANO leader,7,0,3,3,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,0,0,9,Male,26, TREE leader,7,0,5,5,6,2,6,2,7,0,N/A,N/A,N/A,N/A
USC,D10S2,0,1,5,Female,20, TREE leader,6,1,5,5,5,5,6,5,6,3,6,1,N/A,N/A
USC,D10S2,0,1,7,Female,32, VOLCANO leader,7,0,3,3,3,3,4,2,5,1,6,0,7,0
USC,D10S2,0,2,3,Female,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,0,2,10,Female,20, TREE leader,6,2,5,5,5,3,5,2,6,2,6,1,6,2
USC,D10S2,0,3,0,Female,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,0,3,4,Female,26, TREE leader,7,0,5,5,7,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,0,4,1,Male,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,0,4,2,Male,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,0,5,6,Male,20, TREE leader,5,0,5,5,5,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,0,5,11,Male,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,0,3,Female,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,0,4,Female,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,1,5,Female,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,1,8,Male,26, VOLCANO leader,7,0,3,3,6,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,2,6,Male,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,2,11,Male,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,3,1,Male,26, VOLCANO leader,7,0,3,3,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,3,9,Male,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,4,2,Male,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,4,7,Female,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,5,0,Female,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S2,1,5,10,Female,26, TREE leader,7,0,5,5,5,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A
