Location,SessionId,matchId,GroupId,ClientId,Gender,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol,click.6.finalRow,click.6.finalCol,click.7.finalRow,click.7.finalCol,click.8.finalRow,click.8.finalCol
USC,D10S3,0,0,8,Female,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,0,0,11,Female,26, TREE leader,7,0,5,5,6,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,0,1,1,Male,32, VOLCANO leader,7,0,3,3,5,4,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,0,1,5,Male,20, TREE leader,6,2,5,5,6,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,0,2,2,Female,26, TREE leader,7,0,5,5,4,5,6,4,6,3,6,1,6,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,0,2,9,Male,26, VOLCANO leader,7,0,3,3,5,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,0,3,3,Male,20, VOLCANO leader,6,1,3,3,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,0,3,10,Female,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,0,4,4,Female,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,0,4,7,Male,26, TREE leader,7,0,5,5,4,0,7,0,6,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,0,5,0,Female,20, TREE leader,6,0,5,5,5,2,6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,0,5,6,Male,32, VOLCANO leader,7,0,3,3,5,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,1,0,2,Female,26, TREE leader,7,0,5,5,4,4,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,1,0,6,Male,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,1,1,7,Male,20, TREE leader,5,0,5,5,6,0,5,0,5,0,6,0,5,0,6,0,5,0,5,1,5,0
USC,D10S3,1,1,9,Male,32, VOLCANO leader,7,0,3,3,3,3,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,1,2,0,Female,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,1,2,4,Female,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,1,3,3,Male,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,1,3,11,Female,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,1,4,1,Male,26, VOLCANO leader,7,0,3,3,4,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,1,4,10,Female,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,1,5,5,Male,20, TREE leader,6,0,5,5,5,1,5,1,5,0,6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
USC,D10S3,1,5,8,Female,32, VOLCANO leader,7,0,3,3,4,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
