Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol
LF,D1S1,0,0,0,5,Male,1,0,32,TREE leader,5,5,7,0,N/A,N/A,N/A,N/A
LF,D1S1,0,0,8,5,Female,0,0,20, VOLCANO leader,3,3,N/A,N/A,N/A,N/A,N/A,N/A
LF,D1S1,0,1,4,5,Male,0,0,26,VOLCANO leader,3,3,7,0,7,0,N/A,N/A
LF,D1S1,0,1,6,5,Male,2,0,26,TREE leader,5,5,7,0,N/A,N/A,N/A,N/A
LF,D1S1,0,2,2,5,Male,0,3,32,VOLCANO leader,3,3,7,0,N/A,N/A,N/A,N/A
LF,D1S1,0,2,3,5,Female,0,1,20,TREE leader,5,5,N/A,N/A,N/A,N/A,N/A,N/A
LF,D1S1,0,3,1,5,Female,0,1,20,TREE leader,5,5,2,4,N/A,N/A,N/A,N/A
LF,D1S1,0,3,7,5,Female,0,1,32,VOLCANO leader,3,3,7,0,N/A,N/A,N/A,N/A
LF,D1S1,0,4,5,5,Male,0,1,32, TREE leader,5,5,7,3,7,1,7,0
LF,D1S1,0,4,9,5,Male,1,0,20, VOLCANO leader,3,3,7,1,N/A,N/A,N/A,N/A
LF,D1S1,1,0,3,5,Female,0,1,20,TREE leader,5,5,5,0,N/A,N/A,N/A,N/A
LF,D1S1,1,0,9,5,Male,1,0,32,VOLCANO leader,3,3,7,0,N/A,N/A,N/A,N/A
LF,D1S1,1,1,0,5,Male,1,0,26,TREE leader,5,5,5,4,7,0,N/A,N/A
LF,D1S1,1,1,7,5,Female,0,1,26, VOLCANO leader,3,3,7,0,N/A,N/A,N/A,N/A
LF,D1S1,1,2,4,5,Male,0,0,26,VOLCANO leader,3,3,6,2,7,0,N/A,N/A
LF,D1S1,1,2,6,5,Male,2,0,26, TREE leader,5,5,7,0,N/A,N/A,N/A,N/A
LF,D1S1,1,3,1,5,Female,0,1,26, TREE leader,5,5,7,0,N/A,N/A,N/A,N/A
LF,D1S1,1,3,8,5,Female,0,0,26, VOLCANO leader,3,3,7,0,N/A,N/A,N/A,N/A
LF,D1S1,1,4,2,5,Male,0,3,26,VOLCANO leader,3,3,4,3,6,1,7,0
LF,D1S1,1,4,5,5,Male,0,1,26,TREE leader,5,5,7,0,N/A,N/A,N/A,N/A
