Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol
LF,D1S2,0,0,0,3,Male,0,1,32, VOLCANO leader,3,3,7,0,N/A,N/A
LF,D1S2,0,0,2,3,Female,0,1,20, TREE leader,5,5,6,5,3,1
LF,D1S2,0,1,3,3,Female,1,1,26, TREE leader,5,5,7,0,N/A,N/A
LF,D1S2,0,1,4,3,Male,1,1,26, VOLCANO leader,3,3,7,0,N/A,N/A
LF,D1S2,0,2,5,3,Male,2,0,26, VOLCANO leader,3,3,3,3,6,1
LF,D1S2,0,2,7,3,Female,0,1,26, TREE leader,5,5,5,3,N/A,N/A
LF,D1S2,0,3,1,3,Male,0,0,32, TREE leader,5,5,7,0,N/A,N/A
LF,D1S2,0,3,9,3,Female,0,0,20, VOLCANO leader,3,3,6,1,N/A,N/A
LF,D1S2,0,4,6,3,Female,1,0,26, TREE leader,5,5,3,0,N/A,N/A
LF,D1S2,0,4,8,3,Female,1,0,26, VOLCANO leader,3,3,7,3,N/A,N/A
LF,D1S2,1,0,4,3,Male,1,1,32, VOLCANO leader,3,3,7,0,N/A,N/A
LF,D1S2,1,0,7,3,Female,0,1,20, TREE leader,5,5,N/A,N/A,N/A,N/A
LF,D1S2,1,1,3,3,Female,1,1,26, TREE leader,5,5,7,0,N/A,N/A
LF,D1S2,1,1,5,3,Male,2,0,26, VOLCANO leader,3,3,0,0,7,0
LF,D1S2,1,2,1,3,Male,0,0,26, TREE leader,5,5,5,5,7,0
LF,D1S2,1,2,9,3,Female,0,0,26, VOLCANO leader,3,3,7,0,N/A,N/A
LF,D1S2,1,3,2,3,Female,0,1,32, TREE leader,5,5,5,5,7,0
LF,D1S2,1,3,8,3,Female,1,0,20, VOLCANO leader,3,3,5,5,6,5
LF,D1S2,1,4,0,3,Male,0,1,32, VOLCANO leader,3,3,N/A,N/A,N/A,N/A
LF,D1S2,1,4,6,3,Female,1,0,20, TREE leader,5,5,5,5,4,3
