Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol
LF,D1S3,0,0,5,K,Female,0,1,20, TREE leader,5,5,5,5,5,4,N/A,N/A,N/A,N/A
LF,D1S3,0,0,9,K,Female,0,1,32, VOLCANO leader,3,3,6,3,6,3,N/A,N/A,N/A,N/A
LF,D1S3,0,1,2,K,Male,0,1,26, TREE leader,5,5,3,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D1S3,0,1,8,K,Female,0,0,26, VOLCANO leader,3,3,3,3,5,2,N/A,N/A,N/A,N/A
LF,D1S3,0,2,3,K,Female,0,0,20, VOLCANO leader,3,3,3,4,N/A,N/A,N/A,N/A,N/A,N/A
LF,D1S3,0,2,7,K,Male,0,1,32, TREE leader,5,5,4,5,4,3,N/A,N/A,N/A,N/A
LF,D1S3,0,3,1,K,Female,1,0,26, TREE leader,5,5,5,4,6,4,6,3,6,1
LF,D1S3,0,3,4,K,Female,0,0,26, VOLCANO leader,3,3,6,7,7,7,N/A,N/A,N/A,N/A
LF,D1S3,0,4,0,K,Male,0,0,26, VOLCANO leader,3,3,6,3,7,3,N/A,N/A,N/A,N/A
LF,D1S3,0,4,6,K,Female,0,0,26, TREE leader,5,5,4,2,N/A,N/A,N/A,N/A,N/A,N/A
LF,D1S3,1,0,3,K,Female,0,0,20, VOLCANO leader,3,3,0,7,N/A,N/A,N/A,N/A,N/A,N/A
LF,D1S3,1,0,7,K,Male,0,1,32, TREE leader,5,5,5,2,5,0,N/A,N/A,N/A,N/A
LF,D1S3,1,1,0,K,Male,0,0,32, VOLCANO leader,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D1S3,1,1,6,K,Female,0,0,20, TREE leader,5,5,5,4,5,4,N/A,N/A,N/A,N/A
LF,D1S3,1,2,5,K,Female,0,1,20, TREE leader,5,5,5,5,3,4,6,3,N/A,N/A
LF,D1S3,1,2,9,K,Female,0,1,32, VOLCANO leader,3,3,7,3,N/A,N/A,N/A,N/A,N/A,N/A
LF,D1S3,1,3,2,K,Male,0,1,26, TREE leader,5,5,4,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D1S3,1,3,4,K,Female,0,0,26, VOLCANO leader,3,3,3,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D1S3,1,4,1,K,Female,1,0,32, TREE leader,5,5,5,4,N/A,N/A,N/A,N/A,N/A,N/A
LF,D1S3,1,4,8,K,Female,0,0,20, VOLCANO leader,3,3,7,3,N/A,N/A,N/A,N/A,N/A,N/A
