Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol
LF,D2S2,0,0,1,K,Male,1,1,32, VOLCANO leader,3,3,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,0,0,8,K,Male,1,0,20, TREE leader,5,5,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,0,1,4,K,Male,1,0,26, VOLCANO leader,3,3,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,0,1,6,K,Female,1,0,26, TREE leader,5,5,5,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,0,2,3,K,Female,0,1,20, TREE leader,5,5,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,0,2,9,K,Male,0,0,32, VOLCANO leader,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,0,3,0,K,Female,0,1,26, VOLCANO leader,3,3,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,0,3,5,K,Female,2,0,26, TREE leader,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,0,4,2,K,Male,2,0,26, VOLCANO leader,3,3,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,0,4,7,K,Female,0,1,26, TREE leader,5,5,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,1,0,1,K,Male,1,1,32, VOLCANO leader,3,3,7,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,1,0,7,K,Female,0,1,20, TREE leader,5,5,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,1,1,8,K,Male,1,0,32, TREE leader,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,1,1,9,K,Male,0,0,20, VOLCANO leader,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,1,2,3,K,Female,0,1,20, TREE leader,5,5,5,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,1,2,4,K,Male,1,0,32, VOLCANO leader,3,3,6,3,7,3,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,1,3,2,K,Male,2,0,26, VOLCANO leader,3,3,7,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,1,3,5,K,Female,2,0,26, TREE leader,5,5,7,5,7,4,4,3,3,3,2,1
LF,D2S2,1,4,0,K,Female,0,1,26, VOLCANO leader,3,3,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S2,1,4,6,K,Female,1,0,26, TREE leader,5,5,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
