Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol,click.6.finalRow,click.6.finalCol,click.7.finalRow,click.7.finalCol
LF,D2S3,0,0,5,2,Male,0,1,26, VOLCANO leader,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,0,0,6,2,Male,0,0,26, TREE leader,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,0,1,1,2,Female,0,1,32, TREE leader,5,5,4,4,6,3,6,3,7,2,7,1,7,0,N/A,N/A,N/A,N/A
LF,D2S3,0,1,4,2,Male,0,0,20, VOLCANO leader,3,3,5,5,7,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,0,2,2,2,Female,0,0,26, VOLCANO leader,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,0,2,3,2,Female,0,1,26, TREE leader,5,5,4,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,0,3,7,2,Male,0,0,32, VOLCANO leader,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,0,3,8,2,Male,1,1,20, TREE leader,5,5,4,5,3,5,3,5,3,4,3,4,2,4,2,3,2,2
LF,D2S3,0,4,0,2,Female,0,0,26, VOLCANO leader,3,3,6,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,0,4,9,2,Male,0,1,26, TREE leader,5,5,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,1,0,5,2,Male,0,1,32, VOLCANO leader,3,3,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,1,0,9,2,Male,0,1,20, TREE leader,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,1,1,0,2,Female,0,0,20, VOLCANO leader,3,3,4,4,7,4,7,3,7,4,7,5,7,7,7,6,N/A,N/A
LF,D2S3,1,1,8,2,Male,1,1,32, TREE leader,5,5,5,3,5,2,6,2,6,1,6,0,7,0,N/A,N/A,N/A,N/A
LF,D2S3,1,2,4,2,Male,0,0,26, VOLCANO leader,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,1,2,6,2,Male,0,0,26, TREE leader,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,1,3,1,2,Female,0,1,20, TREE leader,5,5,6,4,6,2,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,1,3,7,2,Male,0,0,32, VOLCANO leader,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,1,4,2,2,Female,0,0,32, VOLCANO leader,3,3,3,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D2S3,1,4,3,2,Female,0,1,20, TREE leader,5,5,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
