Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol,click.6.finalRow,click.6.finalCol
LF,D3S2,0,0,0,4,Male,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,0,0,4,4,Female,0,0,26, TREE leader,7,0,5,5,6,3,6,1,6,1,7,2,7,1,7,1,7,0
LF,D3S2,0,1,5,4,Male,1,2,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,0,1,8,4,Male,0,0,26, TREE leader,7,0,5,5,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,0,2,1,4,Male,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,0,2,3,4,Male,0,1,26, VOLCANO leader,7,0,3,3,4,3,6,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,0,3,2,4,Female,0,1,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,0,3,9,4,Female,0,0,20, VOLCANO leader,7,3,3,3,5,4,6,4,6,4,7,4,7,3,N/A,N/A,N/A,N/A
LF,D3S2,0,4,6,4,Female,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,0,4,7,4,Male,0,0,26, TREE leader,7,0,5,5,5,5,5,4,5,4,6,2,7,0,N/A,N/A,N/A,N/A
LF,D3S2,1,0,6,4,Female,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,1,0,8,4,Male,0,0,26, TREE leader,7,0,5,5,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,1,1,0,4,Male,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,1,1,4,4,Female,0,0,26, TREE leader,7,0,5,5,7,4,7,3,6,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,1,2,2,4,Female,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,1,2,3,4,Male,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,1,3,1,4,Male,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,1,3,9,4,Female,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,1,4,5,4,Male,1,2,26, VOLCANO leader,7,0,3,3,7,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S2,1,4,7,4,Male,0,0,26, TREE leader,7,0,5,5,6,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
