Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol,click.6.finalRow,click.6.finalCol,click.7.finalRow,click.7.finalCol
LF,D3S3,0,0,5,1,Female,n/a,n/a,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,0,0,6,1,Male,0,1,26, VOLCANO leader,7,0,3,3,5,4,6,2,5,1,4,1,2,3,5,3,7,1,7,0
LF,D3S3,0,1,2,1,Female,n/a,n/a,32, TREE leader,7,0,5,5,5,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,0,1,8,1,Female,n/a,n/a,20, VOLCANO leader,6,3,3,3,3,3,3,3,3,3,6,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,0,2,0,1,Female,n/a,n/a,32, TREE leader,3,0,5,5,3,0,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,0,2,1,1,Male,0,1,20, VOLCANO leader,3,4,3,3,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,0,3,3,1,Male,0,0,20, TREE leader,4,0,5,5,5,4,5,3,5,1,4,1,2,1,2,0,4,0,N/A,N/A
LF,D3S3,0,3,7,1,Male,2,1,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,0,4,4,1,Female,n/a,n/a,32, VOLCANO leader,6,3,3,3,6,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,0,4,9,1,Male,n/a,n/a,20, TREE leader,2,3,5,5,5,5,6,5,4,3,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,1,0,0,1,Female,n/a,n/a,20, TREE leader,4,0,5,5,5,0,4,0,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,1,0,4,1,Female,0,1,32, VOLCANO leader,7,0,3,3,5,3,7,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,1,1,1,1,Male,n/a,n/a,26, VOLCANO leader,7,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,7,0
LF,D3S3,1,1,5,1,Female,n/a,n/a,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,1,2,7,1,Male,n/a,n/a,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,1,2,9,1,Male,0,1,20, TREE leader,0,3,5,5,2,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,1,3,2,1,Female,0,0,26, TREE leader,7,0,5,5,6,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,1,3,8,1,Female,2,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S3,1,4,3,1,Male,n/a,n/a,26, TREE leader,7,0,5,5,7,5,7,3,7,3,7,1,7,1,7,0,N/A,N/A,N/A,N/A
LF,D3S3,1,4,6,1,Male,n/a,n/a,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
