Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol,click.6.finalRow,click.6.finalCol,click.7.finalRow,click.7.finalCol,click.8.finalRow,click.8.finalCol,click.9.finalRow,click.9.finalCol
LF,D5S1,0,0,3,1,Male,1,0,32, TREE leader,6,0,5,5,6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,0,0,10,1,Male,1,0,20, VOLCANO leader,6,3,3,3,3,3,6,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,0,1,1,1,Male,1,0,20, TREE leader,4,2,5,5,6,3,4,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,0,1,11,1,Male,1,0,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,0,2,2,1,Female,0,0,26, VOLCANO leader,7,4,3,3,2,3,5,5,7,5,7,2,4,2,4,4,7,4,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,0,2,5,1,Female,0,2,26, TREE leader,4,0,5,5,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,0,3,0,1,Male,0,2,26, VOLCANO leader,7,6,3,3,7,5,7,5,7,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,0,3,4,1,Female,0,1,26, TREE leader,5,2,5,5,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,0,4,7,1,Female,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,0,4,8,1,Female,2,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,0,5,6,5,Male,0,1,26, VOLCANO leader,6,3,3,3,5,3,6,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,0,5,9,1,Female,1,1,26, TREE leader,5,1,5,5,5,1,5,0,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,1,0,3,1,Male,1,0,26, TREE leader,6,0,5,5,6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,1,0,6,1,Male,0,1,26, VOLCANO leader,7,7,3,3,7,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,1,1,9,1,Female,1,1,26, TREE leader,5,2,5,5,5,4,5,2,6,2,5,2,5,2,5,1,5,3,5,2,N/A,N/A,N/A,N/A
LF,D5S1,1,1,10,1,Male,1,0,26, VOLCANO leader,7,3,3,3,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,1,2,5,1,Female,0,2,20, TREE leader,3,0,5,5,4,4,2,0,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,1,2,11,1,Male,1,0,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,1,3,2,1,Female,0,0,26, VOLCANO leader,7,3,3,3,3,2,3,3,6,3,6,1,4,2,6,0,5,0,5,0,5,3,7,3
LF,D5S1,1,3,4,1,Female,0,1,26, TREE leader,5,0,5,5,5,5,5,1,5,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,1,4,1,1,Male,1,0,20, TREE leader,4,5,5,5,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,1,4,8,1,Female,2,0,32, VOLCANO leader,7,0,3,3,3,3,7,0,7,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,1,5,0,5,Male,0,2,26, VOLCANO leader,7,7,3,3,7,3,6,4,7,5,7,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S1,1,5,7,1,Female,1,0,26, TREE leader,3,0,5,5,5,5,5,4,5,3,4,0,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
