Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click5.finalCol,click.6.finalRow,click6.finalCol,click.7.finalRow,click7.finalCol,click.8.finalRow,click8.finalCol
LF,D5S3,0,0,8,2,Female,2,0,26,VOLCANO,7,2,3,3,7,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,0,0,6,2,Female,0,0,26,TREE,2,0,5,5,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,0,1,4,2,Male,1,0,20,VOLCANO,6,1,3,3,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,0,1,10,2,Female,0,1,32,TREE,7,0,5,5,7,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,0,2,0,2,Male,0,0,32,VOLCANO,7,0,3,3,3,3,3,3,3,3,3,1,4,1,6,1,7,1,7,0,7,0
LF,D5S3,0,2,1,2,Female,0,0,20,TREE,3,0,5,5,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,0,3,9,2,Male,0,1,20,VOLCANO,6,3,3,3,5,4,5,4,6,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,0,3,5,2,Female,0,2,32,TREE,7,0,5,5,7,0,7,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,0,4,7,2,Male,1,0,26,VOLCANO,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,0,4,3,2,Male,2,0,26,TREE,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,0,5,2,2,Male,0,1,20,VOLCANO,7,3,3,3,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,0,5,11,2,Female,1,0,32,TREE,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,0,9,2,Male,0,1,26,VOLCANO,7,0,3,3,6,1,6,1,7,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,0,1,2,Female,0,0,26,TREE,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,1,4,2,Male,1,0,26,VOLCANO,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,1,10,2,Female,0,1,26,TREE,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,2,2,2,Male,0,1,26,VOLCANO,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,2,5,2,Female,0,2,26,TREE,7,0,5,5,7,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,3,7,2,Male,1,0,26,VOLCANO,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,3,11,2,Female,1,0,26,TREE,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,4,0,2,Male,0,0,26,VOLCANO,7,0,3,3,3,3,4,1,7,1,7,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,4,3,2,Male,2,0,26,TREE,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,5,8,2,Female,2,0,26,VOLCANO,7,2,3,3,7,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S3,1,5,6,2,Female,0,0,26,TREE,2,0,5,5,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
