Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol,click.6.finalRow,click.6.finalCol,click.7.finalRow,click.7.finalCol,click.8.finalRow,click.8.finalCol
Burbank,D7S1,0,0,7,6,Male,1,1,26, TREE leader,7,0,5,5,5,5,6,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,0,0,8,6,Male,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,0,1,5,6,Female,2,1,20, TREE leader,4,5,5,5,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,0,1,11,6,Male,2,0,32, VOLCANO leader,7,0,3,3,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,0,2,0,6,Male,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,0,2,2,6,Male,0,1,26, TREE leader,7,0,5,5,6,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,0,3,6,6,Male,0,0,20, TREE leader,6,1,5,5,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,0,3,9,6,Male,2,0,32, VOLCANO leader,7,0,3,3,3,3,2,4,5,1,6,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,0,4,3,6,Female,0,0,32, TREE leader,7,0,5,5,6,4,7,4,7,4,7,2,7,1,7,1,7,1,7,1,7,0
Burbank,D7S1,0,4,4,6,Male,0,2,20, VOLCANO leader,7,4,3,3,7,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,0,5,1,6,Female,0,0,26, VOLCANO leader,7,0,3,3,4,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,0,5,10,6,Female,0,1,26, TREE leader,7,0,5,5,5,5,5,4,5,4,7,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,0,1,6,Female,0,0,26, VOLCANO leader,7,0,3,3,3,3,6,1,7,0,6,6,6,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,0,6,6,Male,0,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,1,0,6,Male,1,0,26, VOLCANO leader,7,0,3,3,7,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,1,10,6,Female,0,1,26, TREE leader,7,0,5,5,7,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,2,7,6,Male,1,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,2,11,6,Male,2,0,26, VOLCANO leader,7,0,3,3,4,3,5,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,3,2,6,Male,0,1,26, TREE leader,7,0,5,5,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,3,9,6,Male,2,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,4,5,6,Female,2,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,4,8,6,Male,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,5,3,6,Female,0,0,26, TREE leader,7,0,5,5,5,3,6,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S1,1,5,4,6,Male,0,2,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
