Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol
Burbank,D7S4,0,0,6,8,Male,2,0,26, TREE leader,7,0,5,5,3,2,6,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,0,0,9,8,Male,0,1,26, VOLCANO leader,7,0,3,3,4,3,3,5,5,2,6,0,7,0,N/A,N/A
Burbank,D7S4,0,1,2,8,Female,1,0,20, TREE leader,5,0,5,5,5,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,0,1,7,8,Male,1,1,32, VOLCANO leader,7,0,3,3,3,3,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,0,2,3,8,Female,1,1,20, VOLCANO leader,5,3,3,3,5,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,0,2,4,8,Male,0,0,32, TREE leader,7,0,5,5,4,3,6,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,0,3,5,8,Male,3+,3+,20, VOLCANO leader,6,1,3,3,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,0,3,8,8,Male,0,1,32, TREE leader,7,0,5,5,6,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,0,4,0,8,Female,1,1,20, VOLCANO leader,5,4,3,3,4,3,5,3,5,4,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,0,4,10,8,Female,2,2,32, TREE leader,5,1,5,5,4,1,5,1,5,0,5,1,N/A,N/A,N/A,N/A
Burbank,D7S4,0,5,1,8,Female,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,0,5,11,8,Female,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,1,0,8,8,Male,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,1,0,11,8,Female,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,1,1,0,8,Female,1,1,32, VOLCANO leader,6,1,3,3,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,1,1,2,8,Female,1,0,20, TREE leader,1,1,5,5,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,1,2,9,8,Male,0,1,32, VOLCANO leader,7,0,3,3,4,3,4,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,1,2,10,8,Female,2,2,20, TREE leader,6,1,5,5,4,1,6,1,6,2,5,2,5,2,6,1
Burbank,D7S4,1,3,1,8,Female,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,1,3,7,8,Male,1,1,26, VOLCANO leader,7,0,3,3,4,3,7,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,1,4,3,8,Female,1,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,1,4,6,8,Male,2,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,1,5,4,8,Male,0,0,26, TREE leader,7,0,5,5,5,4,6,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S4,1,5,5,8,Male,3+,3+,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
