Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol
Burbank,D8S3,0,0,8,8,Female,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A
Burbank,D8S3,0,0,10,10,Male,1,1,26, VOLCANO leader,7,0,3,3,5,1,7,0
Burbank,D8S3,0,1,1,10,Female,2,0,32, TREE leader,7,0,5,5,7,0,N/A,N/A
Burbank,D8S3,0,1,6,10,Male,1,0,20, VOLCANO leader,3,3,3,3,3,3,N/A,N/A
Burbank,D8S3,0,2,9,8,Male,3+,0,20, TREE leader,4,2,5,5,4,2,N/A,N/A
Burbank,D8S3,0,2,11,10,Male,1,0,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A
Burbank,D8S3,0,3,3,8,Female,0,0,20, VOLCANO leader,1,1,3,3,1,1,N/A,N/A
Burbank,D8S3,0,3,4,10,Male,1,0,32, TREE leader,7,0,5,5,6,1,7,0
Burbank,D8S3,0,4,0,10,Female,1,1,20, VOLCANO leader,5,5,3,3,5,5,N/A,N/A
Burbank,D8S3,0,4,2,10,Female,1,1,32, TREE leader,7,0,5,5,6,2,7,0
Burbank,D8S3,0,5,5,10,Female,1,1,20, VOLCANO leader,7,2,3,3,6,2,7,2
Burbank,D8S3,0,5,7,8,Male,0,0,32, TREE leader,7,0,5,5,6,2,7,0
Burbank,D8S3,1,0,0,10,Female,1,1,20, VOLCANO leader,7,5,3,3,7,5,N/A,N/A
Burbank,D8S3,1,0,1,10,Female,2,0,32, TREE leader,7,0,5,5,6,2,7,0
Burbank,D8S3,1,1,4,10,Male,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A
Burbank,D8S3,1,1,11,10,Male,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A
Burbank,D8S3,1,2,2,10,Female,1,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A
Burbank,D8S3,1,2,3,8,Female,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A
Burbank,D8S3,1,3,6,10,Male,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A
Burbank,D8S3,1,3,9,8,Male,3+,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A
Burbank,D8S3,1,4,5,10,Female,1,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A
Burbank,D8S3,1,4,8,8,Female,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A
Burbank,D8S3,1,5,7,8,Male,0,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A
Burbank,D8S3,1,5,10,10,Male,1,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A
