Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol
Burbank,D8S4,0,0,3,10,Male,1,1,26, VOLCANO leader,7,0,3,3,6,2,7,0,N/A,N/A
Burbank,D8S4,0,0,4,10,Male,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A
Burbank,D8S4,0,1,1,10,Female,1,0,20, VOLCANO leader,7,3,3,3,7,3,N/A,N/A,N/A,N/A
Burbank,D8S4,0,1,2,10,Female,0,0,32, TREE leader,7,0,5,5,5,0,7,0,N/A,N/A
Burbank,D8S4,0,2,5,8,Female,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A
Burbank,D8S4,0,2,8,10,Female,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A
Burbank,D8S4,0,3,0,7,Male,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A
Burbank,D8S4,0,3,9,10,Male,1,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A
Burbank,D8S4,0,4,6,10,Female,1,1,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A
Burbank,D8S4,0,4,7,10,Female,1,0,20, TREE leader,5,0,5,5,5,0,N/A,N/A,N/A,N/A
Burbank,D8S4,1,0,2,10,Female,0,0,26, TREE leader,7,0,5,5,5,0,7,0,N/A,N/A
Burbank,D8S4,1,0,6,10,Female,1,1,26, VOLCANO leader,7,0,3,3,5,2,7,0,N/A,N/A
Burbank,D8S4,1,1,4,10,Male,0,1,20, TREE leader,6,0,5,5,6,0,N/A,N/A,N/A,N/A
Burbank,D8S4,1,1,9,10,Male,1,1,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A
Burbank,D8S4,1,2,3,10,Male,1,1,26, VOLCANO leader,7,0,3,3,6,0,7,0,N/A,N/A
Burbank,D8S4,1,2,7,10,Female,1,0,26, TREE leader,7,0,5,5,7,0,6,0,7,0
Burbank,D8S4,1,3,0,7,Male,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A
Burbank,D8S4,1,3,1,10,Female,1,0,26, VOLCANO leader,3,0,3,3,3,0,N/A,N/A,N/A,N/A
Burbank,D8S4,1,4,5,8,Female,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A
Burbank,D8S4,1,4,8,10,Female,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A
