Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol
Burbank,D9S1,0,0,2,6,Male,0,0,20, VOLCANO leader,5,3,3,3,6,3,5,3,6,3,5,3
Burbank,D9S1,0,0,3,6,Female,2,0,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S1,0,1,1,6,Male,0,2,32, TREE leader,7,1,5,5,7,1,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S1,0,1,6,6,Female,2,0,20, VOLCANO leader,7,3,3,3,7,3,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S1,0,2,4,6,Female,0,0,20, VOLCANO leader,6,1,3,3,6,1,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S1,0,2,7,8,Female,0,1,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S1,0,3,0,6,Male,1,1,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S1,0,3,5,6,Female,0,0,20, VOLCANO leader,2,3,3,3,2,3,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S1,1,0,1,6,Male,0,2,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S1,1,0,2,6,Male,0,0,26, VOLCANO leader,7,0,3,3,3,3,7,0,N/A,N/A,N/A,N/A
Burbank,D9S1,1,1,3,6,Female,2,0,26, TREE leader,7,0,5,5,5,5,7,0,N/A,N/A,N/A,N/A
Burbank,D9S1,1,1,6,6,Female,2,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S1,1,2,5,6,Female,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S1,1,2,7,8,Female,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S1,1,3,0,6,Male,1,1,26, TREE leader,7,0,5,5,5,4,5,4,7,0,N/A,N/A
Burbank,D9S1,1,3,4,6,Female,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
