Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol
Burbank,D9S2,0,0,1,7,Female,1,0,26, TREE leader,7,0,5,5,6,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,0,0,5,7,Female,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,0,1,2,7,Male,2,0,26, VOLCANO leader,7,0,3,3,3,3,3,3,3,3,5,2,7,0
Burbank,D9S2,0,1,7,7,Female,0,0,26, TREE leader,7,0,5,5,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,0,2,4,7,Male,0,2,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,0,2,6,7,Female,0,0,20, TREE leader,4,1,5,5,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,0,3,0,7,Male,0,0,20, VOLCANO leader,5,2,3,3,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,0,3,3,7,Female,1,0,32, TREE leader,7,0,5,5,7,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,1,0,3,7,Female,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,1,0,4,7,Male,0,2,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,1,1,2,7,Male,2,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,1,1,6,7,Female,0,0,26, TREE leader,7,0,5,5,5,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,1,2,0,7,Male,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,1,2,7,7,Female,0,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,1,3,1,7,Female,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S2,1,3,5,7,Female,0,1,26, VOLCANO leader,6,0,3,3,6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
