,roleType,Campus,SessionName,Session code,clientId,matchId,groupId,role,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10,choice11,choice12,centiPayoff,gender,grade,birth_year,birth_month,birth_day,younger_siblings,older_siblings,school_topics
0,orange,LILA-35,SS1,ho66dyvc,4,3,1,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,June,25,No,Yes,Math
1,orange,LILA-35,SS1,ho66dyvc,6,3,3,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,May,14,No,No,History
2,orange,LILA-35,SS1,ho66dyvc,12,3,2,orange,None,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,50,F,3,2010,November,8,Yes,No,Sciences &amp; Technology
3,orange,LILA-35,SS1,ho66dyvc,9,3,5,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,3,2010,March,23,No,Yes,Art &amp; Music
4,blue,LILA-35,SS1,ho66dyvc,2,3,3,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,3,2010,March,10,No,No,Art &amp; Music
5,blue,LILA-35,SS1,ho66dyvc,1,3,6,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,F,3,2010,September,8,Yes,No,Art &amp; Music
6,blue,LILA-35,SS1,ho66dyvc,3,3,4,blue,arrow,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,660,F,3,2010,April,28,No,Yes,Art &amp; Music
7,orange,LILA-35,SS1,ho66dyvc,5,3,6,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,M,3,2010,July,8,No,No,History
8,blue,LILA-35,SS1,ho66dyvc,7,3,1,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,3,2010,November,8,No,Yes,Math
9,blue,LILA-35,SS1,ho66dyvc,8,3,5,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,3,2010,April,9,No,No,Sciences &amp; Technology
10,orange,LILA-35,SS1,ho66dyvc,10,3,4,orange,None,arrow,None,arrow,None,arrow,None,arrow,None,None,None,None,50,M,3,2010,October,11,No,No,Art &amp; Music
11,blue,LILA-35,SS1,ho66dyvc,11,3,2,blue,arrow,None,arrow,None,arrow,None,arrow,None,stop,None,None,None,660,F,3,2010,December,20,No,Yes,History
12,orange,LILA-35,SS1,ho66dyvc,4,4,5,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,3,2010,June,25,No,Yes,Math
13,orange,LILA-35,SS1,ho66dyvc,6,4,1,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,3,2010,May,14,No,No,History
14,orange,LILA-35,SS1,ho66dyvc,12,4,3,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,November,8,Yes,No,Sciences &amp; Technology
15,orange,LILA-35,SS1,ho66dyvc,9,4,2,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,3,2010,March,23,No,Yes,Art &amp; Music
16,blue,LILA-35,SS1,ho66dyvc,2,4,4,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,March,10,No,No,Art &amp; Music
17,blue,LILA-35,SS1,ho66dyvc,1,4,1,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,September,8,Yes,No,Art &amp; Music
18,blue,LILA-35,SS1,ho66dyvc,3,4,5,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,April,28,No,Yes,Art &amp; Music
19,orange,LILA-35,SS1,ho66dyvc,5,4,6,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,M,3,2010,July,8,No,No,History
20,blue,LILA-35,SS1,ho66dyvc,7,4,6,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,M,3,2010,November,8,No,Yes,Math
21,blue,LILA-35,SS1,ho66dyvc,8,4,2,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,3,2010,April,9,No,No,Sciences &amp; Technology
22,orange,LILA-35,SS1,ho66dyvc,10,4,4,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,M,3,2010,October,11,No,No,Art &amp; Music
23,blue,LILA-35,SS1,ho66dyvc,11,4,3,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,3,2010,December,20,No,Yes,History
24,orange,LILA-35,SS1,ho66dyvc,4,5,2,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,F,3,2010,June,25,No,Yes,Math
25,orange,LILA-35,SS1,ho66dyvc,6,5,3,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,F,3,2010,May,14,No,No,History
26,orange,LILA-35,SS1,ho66dyvc,12,5,4,blue,arrow,None,arrow,None,None,None,None,None,None,None,None,None,50,F,3,2010,November,8,Yes,No,Sciences &amp; Technology
27,orange,LILA-35,SS1,ho66dyvc,9,5,6,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,3,2010,March,23,No,Yes,Art &amp; Music
28,blue,LILA-35,SS1,ho66dyvc,2,5,4,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,F,3,2010,March,10,No,No,Art &amp; Music
29,blue,LILA-35,SS1,ho66dyvc,1,5,5,orange,None,stop,None,None,None,None,None,None,None,None,None,None,170,F,3,2010,September,8,Yes,No,Art &amp; Music
30,blue,LILA-35,SS1,ho66dyvc,3,5,2,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,April,28,No,Yes,Art &amp; Music
31,orange,LILA-35,SS1,ho66dyvc,5,5,1,blue,arrow,None,stop,None,None,None,None,None,None,None,None,None,240,M,3,2010,July,8,No,No,History
32,blue,LILA-35,SS1,ho66dyvc,7,5,3,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,M,3,2010,November,8,No,Yes,Math
33,blue,LILA-35,SS1,ho66dyvc,8,5,6,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,M,3,2010,April,9,No,No,Sciences &amp; Technology
34,orange,LILA-35,SS1,ho66dyvc,10,5,5,blue,arrow,None,None,None,None,None,None,None,None,None,None,None,50,M,3,2010,October,11,No,No,Art &amp; Music
35,blue,LILA-35,SS1,ho66dyvc,11,5,1,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,December,20,No,Yes,History
36,orange,LILA-35,SS1,    ho66dyvc,4,6,5,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,June,25,No,Yes,Math
37,orange,LILA-35,SS1,    ho66dyvc,6,6,6,orange,None,arrow,None,None,None,None,None,None,None,None,None,None,50,F,3,2010,May,14,No,No,History
38,orange,LILA-35,SS1,    ho66dyvc,12,6,3,orange,None,arrow,None,stop,None,None,None,None,None,None,None,None,310,F,3,2010,November,8,Yes,No,Sciences &amp; Technology
39,orange,LILA-35,SS1,    ho66dyvc,9,6,2,orange,None,None,None,None,None,None,None,None,None,None,None,None,50,M,3,2010,March,23,No,Yes,Art &amp; Music
40,blue,LILA-35,SS1,    ho66dyvc,2,6,2,blue,stop,None,None,None,None,None,None,None,None,None,None,None,100,F,3,2010,March,10,No,No,Art &amp; Music
