"","Session","Order","Game","matchId","roundId","groupId","clientId","Gender","Grade","Siblings","role","decision","payoff","Age","Track3"
"1","D1S1","BOS-HD","BOS1",2,0,3,11,"M",6,NA,"green","green",1,157,"At risk"
"2","D1S1","BOS-HD","BOS1",2,1,3,11,"M",6,NA,"green","green",4,157,"At risk"
"3","D1S1","BOS-HD","BOS1",2,2,3,11,"M",6,NA,"green","green",1,157,"At risk"
"4","D1S1","BOS-HD","BOS1",2,3,3,11,"M",6,NA,"green","red",2,157,"At risk"
"5","D1S1","BOS-HD","BOS1",2,4,3,11,"M",6,NA,"green","red",2,157,"At risk"
"6","D1S1","BOS-HD","BOS1",2,5,3,11,"M",6,NA,"green","green",1,157,"At risk"
"7","D1S1","BOS-HD","BOS1",2,6,3,11,"M",6,NA,"green","green",1,157,"At risk"
"8","D1S1","BOS-HD","BOS1",2,7,3,11,"M",6,NA,"green","green",4,157,"At risk"
"9","D1S1","BOS-HD","BOS1",2,8,3,11,"M",6,NA,"green","green",4,157,"At risk"
"10","D1S1","BOS-HD","BOS1",2,9,3,11,"M",6,NA,"green","red",2,157,"At risk"
"11","D1S1","BOS-HD","BOS1",2,10,3,11,"M",6,NA,"green","red",2,157,"At risk"
"12","D1S1","BOS-HD","BOS1",2,11,3,11,"M",6,NA,"green","green",4,157,"At risk"
"13","D1S1","BOS-HD","BOS1",2,12,3,11,"M",6,NA,"green","green",4,157,"At risk"
"14","D1S1","BOS-HD","BOS1",2,13,3,11,"M",6,NA,"green","red",2,157,"At risk"
"15","D1S1","BOS-HD","BOS1",2,14,3,11,"M",6,NA,"green","red",2,157,"At risk"
"16","D1S1","BOS-HD","BOS1",2,15,3,11,"M",6,NA,"green","green",4,157,"At risk"
"17","D1S1","BOS-HD","BOS1",2,16,3,11,"M",6,NA,"green","green",4,157,"At risk"
"18","D1S1","BOS-HD","BOS1",2,17,3,11,"M",6,NA,"green","red",2,157,"At risk"
"19","D1S1","BOS-HD","BOS2",3,0,2,11,"M",6,NA,"red","green",2,157,"At risk"
"20","D1S1","BOS-HD","BOS2",3,1,2,11,"M",6,NA,"red","red",6,157,"At risk"
"21","D1S1","BOS-HD","BOS2",3,2,2,11,"M",6,NA,"red","green",2,157,"At risk"
"22","D1S1","BOS-HD","BOS2",3,3,2,11,"M",6,NA,"red","red",6,157,"At risk"
"23","D1S1","BOS-HD","BOS2",3,4,2,11,"M",6,NA,"red","green",2,157,"At risk"
"24","D1S1","BOS-HD","BOS2",3,5,2,11,"M",6,NA,"red","red",6,157,"At risk"
"25","D1S1","BOS-HD","BOS2",3,6,2,11,"M",6,NA,"red","green",2,157,"At risk"
"26","D1S1","BOS-HD","BOS2",3,7,2,11,"M",6,NA,"red","red",6,157,"At risk"
"27","D1S1","BOS-HD","BOS2",3,8,2,11,"M",6,NA,"red","green",2,157,"At risk"
"28","D1S1","BOS-HD","BOS2",3,9,2,11,"M",6,NA,"red","red",6,157,"At risk"
"29","D1S1","BOS-HD","BOS2",3,10,2,11,"M",6,NA,"red","green",2,157,"At risk"
"30","D1S1","BOS-HD","BOS2",3,11,2,11,"M",6,NA,"red","red",6,157,"At risk"
"31","D1S1","BOS-HD","BOS2",3,12,2,11,"M",6,NA,"red","green",2,157,"At risk"
"32","D1S1","BOS-HD","BOS2",3,13,2,11,"M",6,NA,"red","red",6,157,"At risk"
"33","D1S1","BOS-HD","BOS2",3,14,2,11,"M",6,NA,"red","green",2,157,"At risk"
"34","D1S1","BOS-HD","BOS2",3,15,2,11,"M",6,NA,"red","red",6,157,"At risk"
"35","D1S1","BOS-HD","BOS2",3,16,2,11,"M",6,NA,"red","green",2,157,"At risk"
"36","D1S1","BOS-HD","BOS2",3,17,2,11,"M",6,NA,"red","red",6,157,"At risk"
"37","D1S1","BOS-HD","BOS1",2,0,4,4,"M",6,NA,"red","red",6,137,"At risk"
"38","D1S1","BOS-HD","BOS1",2,1,4,4,"M",6,NA,"red","red",1,137,"At risk"
"39","D1S1","BOS-HD","BOS1",2,2,4,4,"M",6,NA,"red","green",2,137,"At risk"
"40","D1S1","BOS-HD","BOS1",2,3,4,4,"M",6,NA,"red","red",6,137,"At risk"
"41","D1S1","BOS-HD","BOS1",2,4,4,4,"M",6,NA,"red","red",6,137,"At risk"
"42","D1S1","BOS-HD","BOS1",2,5,4,4,"M",6,NA,"red","green",1,137,"At risk"
"43","D1S1","BOS-HD","BOS1",2,6,4,4,"M",6,NA,"red","red",1,137,"At risk"
"44","D1S1","BOS-HD","BOS1",2,7,4,4,"M",6,NA,"red","red",6,137,"At risk"
"45","D1S1","BOS-HD","BOS1",2,8,4,4,"M",6,NA,"red","green",2,137,"At risk"
"46","D1S1","BOS-HD","BOS1",2,9,4,4,"M",6,NA,"red","red",6,137,"At risk"
"47","D1S1","BOS-HD","BOS1",2,10,4,4,"M",6,NA,"red","red",6,137,"At risk"
"48","D1S1","BOS-HD","BOS1",2,11,4,4,"M",6,NA,"red","red",1,137,"At risk"
"49","D1S1","BOS-HD","BOS1",2,12,4,4,"M",6,NA,"red","red",1,137,"At risk"
"50","D1S1","BOS-HD","BOS1",2,13,4,4,"M",6,NA,"red","red",6,137,"At risk"
"51","D1S1","BOS-HD","BOS1",2,14,4,4,"M",6,NA,"red","green",1,137,"At risk"
"52","D1S1","BOS-HD","BOS1",2,15,4,4,"M",6,NA,"red","green",2,137,"At risk"
