Order,Location,Session,Game,matchId,roundId,groupId,clientId,Gender,Grade,Older siblings,Younger siblings,role,decision,decisionTime,payoff
SH-BOS,BUR,67-G1,SH1,5,0,5,8,M,7,0,1,yellow,in,31868,3
SH-BOS,BUR,67-G1,SH1,5,1,5,8,M,7,0,1,yellow,in,2783,1
SH-BOS,BUR,67-G1,SH1,5,2,5,8,M,7,0,1,yellow,out,2860,2
SH-BOS,BUR,67-G1,SH1,5,3,5,8,M,7,0,1,yellow,out,3542,2
SH-BOS,BUR,67-G1,SH1,5,4,5,8,M,7,0,1,yellow,in,1237,3
SH-BOS,BUR,67-G1,SH1,5,5,5,8,M,7,0,1,yellow,in,3894,1
SH-BOS,BUR,67-G1,SH1,5,6,5,8,M,7,0,1,yellow,out,1366,2
SH-BOS,BUR,67-G1,SH1,5,7,5,8,M,7,0,1,yellow,out,4947,2
SH-BOS,BUR,67-G1,SH1,5,8,5,8,M,7,0,1,yellow,in,1670,1
SH-BOS,BUR,67-G1,SH1,5,9,5,8,M,7,0,1,yellow,out,1572,2
SH-BOS,BUR,67-G1,SH1,5,10,5,8,M,7,0,1,yellow,in,1693,3
SH-BOS,BUR,67-G1,SH1,5,11,5,8,M,7,0,1,yellow,in,6460,1
SH-BOS,BUR,67-G1,SH1,5,12,5,8,M,7,0,1,yellow,out,3328,2
SH-BOS,BUR,67-G1,SH1,5,13,5,8,M,7,0,1,yellow,out,3515,2
SH-BOS,BUR,67-G1,SH1,5,14,5,8,M,7,0,1,yellow,in,1609,1
SH-BOS,BUR,67-G1,SH1,5,15,5,8,M,7,0,1,yellow,out,1554,2
SH-BOS,BUR,67-G1,SH1,5,16,5,8,M,7,0,1,yellow,out,2273,2
SH-BOS,BUR,67-G1,SH1,5,17,5,8,M,7,0,1,yellow,in,1328,1
SH-BOS,BUR,67-G1,SH1,5,18,5,8,M,7,0,1,yellow,out,2150,2
SH-BOS,BUR,67-G1,SH1,5,19,5,8,M,7,0,1,yellow,out,1390,2
SH-BOS,BUR,67-G1,SH1,5,20,5,8,M,7,0,1,yellow,out,1688,2
SH-BOS,BUR,67-G1,SH1,5,21,5,8,M,7,0,1,yellow,in,906,3
SH-BOS,BUR,67-G1,SH1,5,22,5,8,M,7,0,1,yellow,out,2313,2
SH-BOS,BUR,67-G1,SH1,5,23,5,8,M,7,0,1,yellow,in,2656,3
SH-BOS,BUR,67-G1,SH2,6,0,5,8,M,7,0,1,yellow,in,3073,3
SH-BOS,BUR,67-G1,SH2,6,1,5,8,M,7,0,1,yellow,in,3663,3
SH-BOS,BUR,67-G1,SH2,6,2,5,8,M,7,0,1,yellow,in,2625,3
SH-BOS,BUR,67-G1,SH2,6,3,5,8,M,7,0,1,yellow,in,1813,3
SH-BOS,BUR,67-G1,SH2,6,4,5,8,M,7,0,1,yellow,in,1860,3
SH-BOS,BUR,67-G1,SH2,6,5,5,8,M,7,0,1,yellow,in,1078,3
SH-BOS,BUR,67-G1,SH2,6,6,5,8,M,7,0,1,yellow,in,1303,3
SH-BOS,BUR,67-G1,SH2,6,7,5,8,M,7,0,1,yellow,in,1079,3
SH-BOS,BUR,67-G1,SH2,6,8,5,8,M,7,0,1,yellow,in,928,3
SH-BOS,BUR,67-G1,SH2,6,9,5,8,M,7,0,1,yellow,in,1127,3
SH-BOS,BUR,67-G1,SH2,6,10,5,8,M,7,0,1,yellow,in,925,3
SH-BOS,BUR,67-G1,SH2,6,11,5,8,M,7,0,1,yellow,in,1769,3
SH-BOS,BUR,67-G1,SH2,6,12,5,8,M,7,0,1,yellow,in,2657,3
SH-BOS,BUR,67-G1,SH2,6,13,5,8,M,7,0,1,yellow,in,828,3
SH-BOS,BUR,67-G1,SH2,6,14,5,8,M,7,0,1,yellow,in,1363,3
SH-BOS,BUR,67-G1,SH2,6,15,5,8,M,7,0,1,yellow,in,657,3
SH-BOS,BUR,67-G1,SH2,6,16,5,8,M,7,0,1,yellow,in,1241,3
SH-BOS,BUR,67-G1,SH2,6,17,5,8,M,7,0,1,yellow,in,908,3
SH-BOS,BUR,67-G1,SH2,6,18,5,8,M,7,0,1,yellow,in,1347,3
SH-BOS,BUR,67-G1,SH2,6,19,5,8,M,7,0,1,yellow,in,960,3
SH-BOS,BUR,67-G1,SH2,6,20,5,8,M,7,0,1,yellow,in,2094,3
SH-BOS,BUR,67-G1,SH2,6,21,5,8,M,7,0,1,yellow,in,797,3
SH-BOS,BUR,67-G1,SH2,6,22,5,8,M,7,0,1,yellow,in,890,3
SH-BOS,BUR,67-G1,SH2,6,23,5,8,M,7,0,1,yellow,in,1275,3
SH-BOS,BUR,67-G1,BOS1,7,0,3,8,M,7,0,1,red,red,5350,5
SH-BOS,BUR,67-G1,BOS1,7,1,3,8,M,7,0,1,red,green,2300,3
SH-BOS,BUR,67-G1,BOS1,7,2,3,8,M,7,0,1,red,red,1027,5
SH-BOS,BUR,67-G1,BOS1,7,3,3,8,M,7,0,1,red,green,960,3
SH-BOS,BUR,67-G1,BOS1,7,4,3,8,M,7,0,1,red,red,1629,5
SH-BOS,BUR,67-G1,BOS1,7,5,3,8,M,7,0,1,red,green,1419,3
SH-BOS,BUR,67-G1,BOS1,7,6,3,8,M,7,0,1,red,red,991,5
SH-BOS,BUR,67-G1,BOS1,7,7,3,8,M,7,0,1,red,green,966,3
SH-BOS,BUR,67-G1,BOS1,7,8,3,8,M,7,0,1,red,red,1078,5
SH-BOS,BUR,67-G1,BOS1,7,9,3,8,M,7,0,1,red,green,826,3
SH-BOS,BUR,67-G1,BOS1,7,10,3,8,M,7,0,1,red,red,1190,5
SH-BOS,BUR,67-G1,BOS1,7,11,3,8,M,7,0,1,red,green,1378,3
SH-BOS,BUR,67-G1,BOS1,7,12,3,8,M,7,0,1,red,red,1092,5
SH-BOS,BUR,67-G1,BOS1,7,13,3,8,M,7,0,1,red,green,973,3
SH-BOS,BUR,67-G1,BOS1,7,14,3,8,M,7,0,1,red,red,1375,5
SH-BOS,BUR,67-G1,BOS1,7,15,3,8,M,7,0,1,red,green,782,3
SH-BOS,BUR,67-G1,BOS1,7,16,3,8,M,7,0,1,red,red,1184,5
SH-BOS,BUR,67-G1,BOS1,7,17,3,8,M,7,0,1,red,green,863,3
SH-BOS,BUR,67-G1,BOS1,7,18,3,8,M,7,0,1,red,red,1556,5
SH-BOS,BUR,67-G1,BOS1,7,19,3,8,M,7,0,1,red,green,1871,3
SH-BOS,BUR,67-G1,BOS1,7,20,3,8,M,7,0,1,red,red,1438,5
SH-BOS,BUR,67-G1,BOS1,7,21,3,8,M,7,0,1,red,green,1180,3
SH-BOS,BUR,67-G1,BOS1,7,22,3,8,M,7,0,1,red,red,1673,5
SH-BOS,BUR,67-G1,BOS1,7,23,3,8,M,7,0,1,red,green,1410,3
SH-BOS,BUR,67-G1,BOS2,8,0,4,8,M,7,0,1,red,red,4084,5
SH-BOS,BUR,67-G1,BOS2,8,1,4,8,M,7,0,1,red,green,993,3
SH-BOS,BUR,67-G1,BOS2,8,2,4,8,M,7,0,1,red,red,1052,5
SH-BOS,BUR,67-G1,BOS2,8,3,4,8,M,7,0,1,red,green,939,3
SH-BOS,BUR,67-G1,BOS2,8,4,4,8,M,7,0,1,red,red,1214,5
SH-BOS,BUR,67-G1,BOS2,8,5,4,8,M,7,0,1,red,green,776,3
SH-BOS,BUR,67-G1,BOS2,8,6,4,8,M,7,0,1,red,red,1285,5
SH-BOS,BUR,67-G1,BOS2,8,7,4,8,M,7,0,1,red,green,1342,3
SH-BOS,BUR,67-G1,BOS2,8,8,4,8,M,7,0,1,red,red,1169,5
SH-BOS,BUR,67-G1,BOS2,8,9,4,8,M,7,0,1,red,green,915,3
SH-BOS,BUR,67-G1,BOS2,8,10,4,8,M,7,0,1,red,red,1023,5
SH-BOS,BUR,67-G1,BOS2,8,11,4,8,M,7,0,1,red,green,844,3
SH-BOS,BUR,67-G1,BOS2,8,12,4,8,M,7,0,1,red,red,935,5
SH-BOS,BUR,67-G1,BOS2,8,13,4,8,M,7,0,1,red,green,744,3
SH-BOS,BUR,67-G1,BOS2,8,14,4,8,M,7,0,1,red,red,1125,5
SH-BOS,BUR,67-G1,BOS2,8,15,4,8,M,7,0,1,red,green,706,3
SH-BOS,BUR,67-G1,BOS2,8,16,4,8,M,7,0,1,red,red,1055,5
