Session,matchId,roundId,clientId,Gender,Topic,Grade,Siblings,Month,Year,payoff,selectionForOwn,selectionGivenToOther,selectionTime,selectionReceivedFromOther
LILA-LF-S1,0,0,4,Male,Math / Science,4,1,may.,2008,33,5,2,22662,6
LILA-LF-S1,0,0,11,Male,Math / Science,4,2 or more,feb.,2008,24,6,6,32159,2
LILA-LF-S1,0,0,0,Male,English,4,1,jul.,2008,12,2,4,17251,2
LILA-LF-S1,0,0,2,Female,Math / Science,4,1,feb.,2008,30,4,6,10126,6
LILA-LF-S1,0,0,6,Female,Art / Music,4,0,dec.,2008,15,1,6,19083,4
LILA-LF-S1,0,0,1,Female,Art / Music,4,1,sep.,2008,33,5,5,22188,6
LILA-LF-S1,0,0,8,Male,Art / Music,4,1,jul.,2008,36,6,5,27829,6
LILA-LF-S1,0,0,5,Male,Math / Science,4,0,aug.,2008,24,3,6,16099,5
LILA-LF-S1,0,0,3,Female,Math / Science,4,1,jul.,2008,24,3,2,27735,5
LILA-LF-S1,0,0,9,Female,Art / Music,4,2 or more,mar.,2008,27,3,3,29954,6
LILA-LF-S1,0,0,10,Male,Math / Science,4,0,aug.,2008,24,6,6,15547,2
LILA-LF-S1,0,0,7,Male,Math / Science,4,0,aug.,2008,27,6,2,10501,3
LILA-LF-S1,1,0,7,Male,Math / Science,4,0,aug.,2008,12,3,1,16912,1
LILA-LF-S1,1,0,4,Male,Math / Science,4,1,may.,2008,15,4,3,10760,1
LILA-LF-S1,1,0,11,Male,Math / Science,4,2 or more,feb.,2008,33,5,4,20942,6
LILA-LF-S1,1,0,0,Male,English,4,1,jul.,2008,12,3,5,12563,1
LILA-LF-S1,1,0,2,Female,Math / Science,4,1,feb.,2008,24,5,2,15204,3
LILA-LF-S1,1,0,6,Female,Art / Music,4,0,dec.,2008,27,5,6,12624,4
LILA-LF-S1,1,0,1,Female,Art / Music,4,1,sep.,2008,27,4,2,18423,5
LILA-LF-S1,1,0,8,Male,Art / Music,4,1,jul.,2008,9,1,3,27298,2
LILA-LF-S1,1,0,5,Male,Math / Science,4,0,aug.,2008,36,6,1,17630,6
LILA-LF-S1,1,0,3,Female,Math / Science,4,1,jul.,2008,21,5,1,12329,2
LILA-LF-S1,1,0,9,Female,Art / Music,4,2 or more,mar.,2008,27,6,1,20360,3
LILA-LF-S1,1,0,10,Male,Math / Science,4,0,aug.,2008,21,6,6,18814,1
LILA-LF-S2,0,0,10,Male,Math / Science,3,0,nov.,2009,24,4,3,27751,4
LILA-LF-S2,0,0,6,Female,Art / Music,3,2 or more,nov.,2009,21,5,4,26657,2
LILA-LF-S2,0,0,0,Female,Art / Music,3,0,nov.,2009,15,4,1,37532,1
LILA-LF-S2,0,0,5,Female,Art / Music,3,2 or more,jun.,2009,27,4,2,36814,5
LILA-LF-S2,0,0,8,Male,Art / Music,3,1,jan.,2009,18,4,1,30972,2
LILA-LF-S2,0,0,2,Female,English,3,1,mar.,2009,18,5,4,21985,1
LILA-LF-S2,0,0,4,Female,French,3,1,may.,2009,18,5,5,15236,1
LILA-LF-S2,0,0,3,Female,English,3,2 or more,feb.,2009,18,2,1,28141,4
LILA-LF-S2,0,0,1,Male,Math / Science,3,1,jan.,2009,21,6,1,7156,1
LILA-LF-S2,0,0,9,Male,French,3,1,apr.,2009,15,4,4,21018,1
LILA-LF-S2,0,0,7,Female,Art / Music,3,1,may.,2009,15,1,2,16798,4
LILA-LF-S2,0,0,11,Male,English,3,1,jan.,2010,27,6,1,8782,3
LILA-LF-S2,1,0,2,Female,English,3,1,mar.,2009,21,3,5,22599,4
LILA-LF-S2,1,0,0,Female,Art / Music,3,0,nov.,2009,33,6,1,33448,5
LILA-LF-S2,1,0,11,Male,English,3,1,jan.,2010,36,6,6,36506,6
LILA-LF-S2,1,0,6,Female,Art / Music,3,2 or more,nov.,2009,18,5,6,20376,1
LILA-LF-S2,1,0,10,Male,Math / Science,3,0,nov.,2009,24,6,3,19969,2
LILA-LF-S2,1,0,3,Female,English,3,2 or more,feb.,2009,27,6,6,23548,3
LILA-LF-S2,1,0,8,Male,Art / Music,3,1,jan.,2009,30,4,4,15476,6
LILA-LF-S2,1,0,9,Male,French,3,1,apr.,2009,24,4,4,40169,4
LILA-LF-S2,1,0,5,Female,Art / Music,3,2 or more,jun.,2009,6,1,2,18970,1
LILA-LF-S2,1,0,7,Female,Art / Music,3,1,may.,2009,18,1,5,14003,5
LILA-LF-S2,1,0,4,Female,French,3,1,may.,2009,36,6,4,11974,6
LILA-LF-S2,1,0,1,Male,Math / Science,3,1,jan.,2009,30,6,1,11704,4
LILA-LF-S3,0,0,1,Female,Art / Music,5,2 or more,jun.,2007,21,2,5,35736,5
LILA-LF-S3,0,0,9,Female,Math / Science,5,2 or more,nov.,2007,24,5,5,23563,3
LILA-LF-S3,0,0,2,Male,Math / Science,5,2 or more,jun.,2007,21,5,3,21921,2
LILA-LF-S3,0,0,8,Female,English,5,0,nov.,2007,18,5,2,20331,1
LILA-LF-S3,0,0,5,Male,Math / Science,5,0,dec.,2006,33,6,3,19313,5
LILA-LF-S3,0,0,3,Female,Art / Music,5,1,nov.,2007,15,1,1,21751,4
LILA-LF-S3,0,0,0,Female,Art / Music,5,2 or more,mar.,2007,15,3,6,35908,2
LILA-LF-S3,0,0,4,Female,Math / Science,5,1,nov.,2007,36,6,1,18314,6
LILA-LF-S3,0,0,7,Female,Art / Music,5,1,sep.,2007,15,4,4,16966,1
LILA-LF-S3,0,0,10,Female,English,5,1,nov.,2007,21,4,2,66789,3
LILA-LF-S3,0,0,11,Male,Art / Music,5,1,mar.,2007,30,6,4,32159,4
LILA-LF-S3,0,0,6,Male,Math / Science,5,1,may.,2007,21,4,3,18702,3
LILA-LF-S3,1,0,4,Female,Math / Science,5,1,nov.,2007,33,6,3,11032,5
LILA-LF-S3,1,0,9,Female,Math / Science,5,2 or more,nov.,2007,18,2,1,18688,4
LILA-LF-S3,1,0,5,Male,Math / Science,5,0,dec.,2006,27,6,3,8641,3
LILA-LF-S3,1,0,6,Male,Math / Science,5,1,may.,2007,24,5,5,7983,3
LILA-LF-S3,1,0,7,Female,Art / Music,5,1,sep.,2007,33,6,1,31897,5
LILA-LF-S3,1,0,10,Female,English,5,1,nov.,2007,18,5,5,7329,1
LILA-LF-S3,1,0,8,Female,English,5,0,nov.,2007,9,2,4,40521,1
LILA-LF-S3,1,0,11,Male,Art / Music,5,1,mar.,2007,30,5,5,17844,5
LILA-LF-S3,1,0,3,Female,Art / Music,5,1,nov.,2007,27,3,5,14375,6
LILA-LF-S3,1,0,0,Female,Art / Music,5,2 or more,mar.,2007,27,4,3,13750,5
LILA-LF-S3,1,0,1,Female,Art / Music,5,2 or more,jun.,2007,27,6,2,15844,3
LILA-LF-S3,1,0,2,Male,Math / Science,5,2 or more,jun.,2007,21,5,6,8128,2
LILA-LF-S4,0,0,8,Female,Art / Music,K,1,sep.,2012,6,3,1,50627,3
LILA-LF-S4,0,0,5,Male,Math / Science,K,2 or more,feb.,2012,9,5,5,71849,4
LILA-LF-S4,0,0,7,Female,English,K,1,sep.,2012,11,5,3,82222,6
LILA-LF-S4,0,0,2,Male,Math / Science,K,1,oct.,2012,8,6,6,50927,2
LILA-LF-S4,0,0,3,Male,English,K,1,jun.,2012,8,2,5,79352,6
LILA-LF-S4,0,0,4,Male,French,K,2 or more,sep.,2012,8,3,4,72551,5
LILA-LF-S4,0,0,6,Female,French,K,1,jul.,2012,7,2,6,68253,5
LILA-LF-S4,0,0,0,Male,Math / Science,K,1,may.,2012,6,2,2,108628,4
LILA-LF-S4,0,0,10,Female,French,K,2 or more,aug.,2012,10,4,2,53471,6
LILA-LF-S4,0,0,9,Female,French,K,1,feb.,2012,7,6,6,80457,1
LILA-LF-S4,0,0,11,Male,English,K,0,may.,2012,7,5,4,73270,2
LILA-LF-S4,0,0,1,Male,Math / Science,K,2 or more,oct.,2012,4,2,2,137031,2
LILA-LF-S4,1,0,7,Female,English,K,1,sep.,2012,11,5,3,88038,6
LILA-LF-S4,1,0,2,Male,Math / Science,K,1,oct.,2012,8,3,6,25753,5
LILA-LF-S4,1,0,0,Male,Math / Science,K,1,may.,2012,11,6,6,25757,5
LILA-LF-S4,1,0,11,Male,English,K,0,may.,2012,7,1,2,28367,6
LILA-LF-S4,1,0,4,Male,French,K,2 or more,sep.,2012,8,5,5,26126,3
LILA-LF-S4,1,0,1,Male,Math / Science,K,2 or more,oct.,2012,9,4,2,38322,5
LILA-LF-S4,1,0,5,Male,Math / Science,K,2 or more,feb.,2012,8,5,5,26095,3
LILA-LF-S4,1,0,3,Male,English,K,1,jun.,2012,8,5,5,31668,3
LILA-LF-S4,1,0,6,Female,French,K,1,jul.,2012,11,5,3,28173,6
LILA-LF-S4,1,0,9,Female,French,K,1,feb.,2012,12,6,6,48159,6
LILA-LF-S4,1,0,10,Female,French,K,2 or more,aug.,2012,8,6,6,40751,2
LILA-LF-S4,1,0,8,Female,Art / Music,K,1,sep.,2012,5,3,3,48158,2
LILA-LF-S5,0,0,3,Male,Math / Science,1,1,jun.,2011,3,1,3,56615,2
LILA-LF-S5,0,0,0,Male,Art / Music,1,1,apr.,2011,12,6,3,73066,6
LILA-LF-S5,0,0,10,Male,Math / Science,1,1,nov.,2011,5,2,5,34736,3
LILA-LF-S5,0,0,7,Male,French,1,0,feb.,2011,4,1,3,38647,3
LILA-LF-S5,0,0,2,Male,Art / Music,1,0,apr.,2011,6,3,1,89822,3
LILA-LF-S5,0,0,8,Female,Art / Music,1,0,jan.,2011,11,5,2,17094,6
LILA-LF-S5,0,0,1,Female,English,1,1,dec.,2011,12,6,6,58154,6
LILA-LF-S5,0,0,11,Male,English,1,2 or more,jun.,2011,5,3,2,48946,2
