Session,matchId,roundId,clientId,Gender,Major,Grade,payoff,selectionForOwn,selectionGivenToOther,selectionTime,selectionReceivedFromOther
USC-S1,0,0,0,F,Neuroscience,YA,280,6,4,12480,1
USC-S1,0,0,2,F,Urban Studies and Planning,YA,240,1,1,12932,5
USC-S1,0,0,7,M,Neuroscience,YA,480,6,4,17784,6
USC-S1,0,0,10,F,Computer Science,YA,280,3,3,18315,4
USC-S1,0,0,8,F,Political Science,YA,280,5,6,13556,2
USC-S1,0,0,3,M,Electrical Engineering,YA,240,2,5,16611,4
USC-S1,0,0,1,F,Mechanical Engineering,YA,280,6,1,12449,1
USC-S1,0,0,6,M,Computer Science,YA,400,6,1,22885,4
USC-S1,0,0,5,M,Computer Science and Business Administration,YA,280,6,6,35989,1
USC-S1,0,0,4,F,Biology,YA,440,5,4,12963,6
USC-S1,0,0,9,M,International Relations ,YA,200,2,2,19890,3
USC-S1,0,0,11,M,Theatre,YA,360,5,4,10842,4
USC-S1,1,0,2,F,Urban Studies and Planning,YA,200,3,1,8690,2
USC-S1,1,0,1,F,Mechanical Engineering,YA,280,5,4,10187,2
USC-S1,1,0,7,M,Neuroscience,YA,400,6,2,17768,4
USC-S1,1,0,11,M,Theatre,YA,320,3,1,9188,5
USC-S1,1,0,6,M,Computer Science,YA,280,6,2,15335,1
USC-S1,1,0,0,F,Neuroscience,YA,320,4,4,6926,4
USC-S1,1,0,4,F,Biology,YA,240,5,5,15896,1
USC-S1,1,0,10,F,Computer Science,YA,360,6,2,11653,3
USC-S1,1,0,9,M,International Relations ,YA,240,5,1,17784,1
USC-S1,1,0,5,M,Computer Science and Business Administration,YA,320,6,4,32885,2
USC-S1,1,0,8,F,Political Science,YA,320,4,1,10811,4
USC-S1,1,0,3,M,Electrical Engineering,YA,80,1,3,15348,1
USC-S2,0,0,6,F,Economics/Mathematics,YA,320,5,2,11716,3
USC-S2,0,0,11,F,Electrical Engineering,YA,360,6,6,14242,3
USC-S2,0,0,7,M,Music Industry,YA,240,3,4,12277,3
USC-S2,0,0,9,F,Computational Linguistics,YA,160,2,3,11778,2
USC-S2,0,0,2,F,Data Informatics,YA,480,6,3,14071,6
USC-S2,0,0,0,M,Computer Science,YA,240,5,2,16022,1
USC-S2,0,0,1,F,Public Health,YA,320,2,6,14306,6
USC-S2,0,0,4,F,MBA,YA,400,6,6,11715,4
USC-S2,0,0,10,M,Economics,YA,440,5,3,10234,6
USC-S2,0,0,5,F,Human Biology,YA,480,6,6,13104,6
USC-S2,0,0,3,F,Business Administration,YA,280,5,1,15788,2
USC-S2,0,0,8,M,Business Administration,YA,480,6,6,12418,6
USC-S2,1,0,5,F,Human Biology,YA,320,2,5,11482,6
USC-S2,1,0,11,F,Electrical Engineering,YA,120,1,4,12028,2
USC-S2,1,0,3,F,Business Administration,YA,440,6,3,10701,5
USC-S2,1,0,4,F,MBA,YA,480,6,3,11685,6
USC-S2,1,0,1,F,Public Health,YA,280,4,2,8705,3
USC-S2,1,0,8,M,Business Administration,YA,480,6,5,13541,6
USC-S2,1,0,9,F,Computational Linguistics,YA,360,5,5,7534,4
USC-S2,1,0,7,M,Music Industry,YA,360,4,6,11653,5
USC-S2,1,0,10,M,Economics,YA,360,6,6,9017,3
USC-S2,1,0,0,M,Computer Science,YA,200,3,3,14617,2
USC-S2,1,0,6,F,Economics/Mathematics,YA,440,6,6,8907,5
USC-S2,1,0,2,F,Data Informatics,YA,320,5,2,16240,3
USC-S3,0,0,10,f,international relations & NGO and Social change,YA,120,2,6,16380,1
USC-S3,0,0,0,F,Accounting; Business Administration,YA,240,2,4,15740,4
USC-S3,0,0,8,M,Electrical Engineering,YA,400,6,4,16146,4
USC-S3,0,0,3,M,Computer Engineering,YA,480,6,3,17769,6
USC-S3,0,0,11,F,Psychology; Neuroscience,YA,360,6,6,12886,3
USC-S3,0,0,7,F,Linguistics / Communication,YA,360,3,6,18065,6
USC-S3,0,0,4,F,Theatre,YA,400,6,4,9562,4
USC-S3,0,0,9,F,Computer Science,YA,200,2,1,13227,3
USC-S3,0,0,6,M,BA Neuroscience & BS Health Promotion ,YA,440,5,6,16443,6
USC-S3,0,0,5,M,Accounting,YA,200,4,1,23975,1
USC-S3,0,0,2,M,Other,YA,360,3,1,20982,6
USC-S3,0,0,1,F,Physical Therapy,YA,280,6,3,15522,1
USC-S3,1,0,3,M,Computer Engineering,YA,360,6,1,9220,3
USC-S3,1,0,0,F,Accounting; Business Administration,YA,360,3,2,9579,6
USC-S3,1,0,6,M,BA Neuroscience & BS Health Promotion ,YA,240,1,4,8908,5
USC-S3,1,0,2,M,Other,YA,240,4,3,16396,2
USC-S3,1,0,9,F,Computer Science,YA,120,2,2,9125,1
USC-S3,1,0,11,F,Psychology; Neuroscience,YA,320,6,4,8783,2
USC-S3,1,0,1,F,Physical Therapy,YA,200,1,3,10468,4
USC-S3,1,0,8,M,Electrical Engineering,YA,360,5,5,12496,4
USC-S3,1,0,10,f,international relations & NGO and Social change,YA,240,1,6,10717,5
USC-S3,1,0,5,M,Accounting,YA,200,4,6,21496,1
USC-S3,1,0,4,F,Theatre,YA,360,6,5,9500,3
USC-S3,1,0,7,F,Linguistics / Communication,YA,360,3,1,13541,6
USC-S4,0,0,6,M,International Relations,YA,360,4,4,17628,5
USC-S4,0,0,2,F,biochemistry ,YA,240,5,5,16802,1
USC-S4,0,0,5,F,Philosophy  Politics and Law,YA,240,2,5,17238,4
USC-S4,0,0,3,F,architecture,YA,400,5,1,19375,5
USC-S4,0,0,0,F,Business Administration and Accounting,YA,440,6,4,18580,5
USC-S4,0,0,7,M,Business Administration,YA,360,5,5,14695,4
USC-S4,0,0,4,F,Computer Science,YA,360,4,5,21466,5
USC-S4,0,0,1,F,International Relations and The Global Economy,YA,400,5,5,18657,5
USC-S4,0,0,8,M,Mechanical Engineering,YA,280,3,4,21574,4
USC-S4,1,0,0,F,Business Administration and Accounting,YA,360,5,3,7894,4
USC-S4,1,0,8,M,Mechanical Engineering,YA,160,3,2,15132,1
USC-S4,1,0,7,M,Business Administration,YA,280,6,6,10701,1
USC-S4,1,0,1,F,International Relations and The Global Economy,YA,200,2,3,8564,3
USC-S4,1,0,2,F,biochemistry ,YA,360,6,1,10343,3
USC-S4,1,0,5,F,Philosophy  Politics and Law,YA,160,1,3,7846,3
USC-S4,1,0,3,F,architecture,YA,400,4,1,11325,6
USC-S4,1,0,4,F,Computer Science,YA,280,5,4,12277,2
USC-S4,1,0,6,M,International Relations,YA,280,4,3,7847,3
USC-S5,0,0,3,M,chemical engineering,YA,280,1,5,10172,6
USC-S5,0,0,7,F,Applied Mathematics,YA,320,5,2,16443,3
USC-S5,0,0,1,M,Electrical Engineer,YA,120,2,5,31496,1
USC-S5,0,0,2,F,Sociology,YA,120,2,3,16645,1
USC-S5,0,0,9,F,Business Adminstration,YA,320,2,1,18798,6
USC-S5,0,0,10,M,Biomedical Engineering,YA,240,3,1,24555,3
USC-S5,0,0,8,M,Chemical Engineering ,YA,240,1,1,13213,5
USC-S5,0,0,11,M,Economics,YA,360,6,1,10218,3
USC-S5,0,0,13,M,Electrical Engineering,YA,160,3,6,9813,1
USC-S5,0,0,6,M,Electrical Engineering,YA,400,5,3,18766,5
USC-S5,0,0,14,M,Health Sciences,YA,280,6,1,40723,1
USC-S5,0,0,4,F,neuroscience,YA,120,2,6,12933,1
USC-S5,0,0,12,M,Buad,YA,120,1,1,14103,2
USC-S5,0,0,5,M,Computer Science,YA,440,6,3,17036,5
USC-S5,0,0,0,f,physics,YA,280,6,5,16879,1
USC-S5,1,0,1,M,Electrical Engineer,YA,280,4,3,19562,3
USC-S5,1,0,10,M,Biomedical Engineering,YA,360,6,3,26926,3
USC-S5,1,0,11,M,Economics,YA,200,2,3,16193,3
USC-S5,1,0,5,M,Computer Science,YA,360,6,3,15131,3
USC-S5,1,0,7,F,Applied Mathematics,YA,320,6,1,10218,2
USC-S5,1,0,9,F,Business Adminstration,YA,280,5,6,19734,2
USC-S5,1,0,14,M,Health Sciences,YA,280,6,2,21399,1
USC-S5,1,0,2,F,Sociology,YA,240,5,2,14165,1
USC-S5,1,0,6,M,Electrical Engineering,YA,200,2,3,15381,3
USC-S5,1,0,3,M,chemical engineering,YA,360,3,6,10514,6
USC-S5,1,0,12,M,Buad,YA,320,6,2,11856,2
USC-S5,1,0,13,M,Electrical Engineering,YA,480,6,1,8939,6
USC-S5,1,0,0,f,physics,YA,200,2,3,20014,3
USC-S5,1,0,4,F,neuroscience,YA,400,4,1,14836,6
USC-S5,1,0,8,M,Chemical Engineering ,YA,240,5,6,11247,1
