,Location,SessionId,Version,Level,matchId,groupId,clientId,Grade,Gender,Number.Older.Siblings,Number.Younger.Siblings,payoff,PlayerName,seekIsland,seekTime,hideIsland,hideTime,hintIsland,hintTime
1,LF,d1s1,Full,1,2,0,0,5,Male,1,0,0,Pirate,8,2225,N/A,N/A,N/A,N/A
2,LF,d1s1,Full,1,2,0,3,5,Female,0,1,4,Farmer,N/A,N/A,4,8296,N/A,N/A
3,LF,d1s1,Full,1,2,1,1,5,Female,0,1,0,Pirate,3,7407,N/A,N/A,N/A,N/A
4,LF,d1s1,Full,1,2,1,6,5,Male,2,0,8,Farmer,N/A,N/A,8,5625,N/A,N/A
5,LF,d1s1,Full,1,2,2,5,5,Male,0,1,3,Farmer,N/A,N/A,3,6563,N/A,N/A
6,LF,d1s1,Full,1,2,2,8,5,Female,0,0,0,Pirate,8,10579,N/A,N/A,N/A,N/A
7,LF,d1s1,Full,1,2,3,4,5,Male,0,0,4,Farmer,N/A,N/A,4,6079,N/A,N/A
8,LF,d1s1,Full,1,2,3,7,5,Female,0,1,0,Pirate,8,10277,N/A,N/A,N/A,N/A
9,LF,d1s1,Full,1,2,4,2,5,Male,0,3,8,Pirate,8,3148,N/A,N/A,N/A,N/A
10,LF,d1s1,Full,1,2,4,9,5,Male,1,0,0,Farmer,N/A,N/A,8,40010,N/A,N/A
11,LF,d1s1,Full,1,3,0,0,5,Male,1,0,4,Farmer,N/A,N/A,4,4563,N/A,N/A
12,LF,d1s1,Full,1,3,0,3,5,Female,0,1,0,Pirate,3,3372,N/A,N/A,N/A,N/A
13,LF,d1s1,Full,1,3,1,1,5,Female,0,1,0,Farmer,N/A,N/A,8,9250,N/A,N/A
14,LF,d1s1,Full,1,3,1,6,5,Male,2,0,8,Pirate,8,17142,N/A,N/A,N/A,N/A
15,LF,d1s1,Full,1,3,2,5,5,Male,0,1,0,Pirate,8,2656,N/A,N/A,N/A,N/A
16,LF,d1s1,Full,1,3,2,8,5,Female,0,0,4,Farmer,N/A,N/A,4,5501,N/A,N/A
17,LF,d1s1,Full,1,3,3,4,5,Male,0,0,0,Pirate,4,11989,N/A,N/A,N/A,N/A
18,LF,d1s1,Full,1,3,3,7,5,Female,0,1,3,Farmer,N/A,N/A,3,15990,N/A,N/A
19,LF,d1s1,Full,1,3,4,2,5,Male,0,3,0,Farmer,N/A,N/A,8,5434,N/A,N/A
20,LF,d1s1,Full,1,3,4,9,5,Male,1,0,8,Pirate,8,15640,N/A,N/A,N/A,N/A
21,LF,d1s1,Full,1,4,0,0,5,Male,1,0,4,Pirate,4,1640,N/A,N/A,N/A,N/A
22,LF,d1s1,Full,1,4,0,3,5,Female,0,1,0,Farmer,N/A,N/A,4,3283,N/A,N/A
23,LF,d1s1,Full,1,4,1,1,5,Female,0,1,4,Pirate,4,2141,N/A,N/A,N/A,N/A
24,LF,d1s1,Full,1,4,1,6,5,Male,2,0,0,Farmer,N/A,N/A,4,6078,N/A,N/A
25,LF,d1s1,Full,1,4,2,5,5,Male,0,1,4,Farmer,N/A,N/A,4,8353,N/A,N/A
26,LF,d1s1,Full,1,4,2,8,5,Female,0,0,0,Pirate,3,5939,N/A,N/A,N/A,N/A
27,LF,d1s1,Full,1,4,3,4,5,Male,0,0,8,Farmer,N/A,N/A,8,3025,N/A,N/A
28,LF,d1s1,Full,1,4,3,7,5,Female,0,1,0,Pirate,4,5057,N/A,N/A,N/A,N/A
29,LF,d1s1,Full,1,4,4,2,5,Male,0,3,0,Pirate,8,3625,N/A,N/A,N/A,N/A
30,LF,d1s1,Full,1,4,4,9,5,Male,1,0,3,Farmer,N/A,N/A,3,6619,N/A,N/A
31,LF,d1s1,Full,1,5,0,0,5,Male,1,0,3,Farmer,N/A,N/A,3,3223,N/A,N/A
32,LF,d1s1,Full,1,5,0,3,5,Female,0,1,0,Pirate,4,2390,N/A,N/A,N/A,N/A
33,LF,d1s1,Full,1,5,1,1,5,Female,0,1,4,Farmer,N/A,N/A,4,2938,N/A,N/A
34,LF,d1s1,Full,1,5,1,6,5,Male,2,0,0,Pirate,8,10391,N/A,N/A,N/A,N/A
35,LF,d1s1,Full,1,5,2,5,5,Male,0,1,0,Pirate,8,8969,N/A,N/A,N/A,N/A
36,LF,d1s1,Full,1,5,2,8,5,Female,0,0,4,Farmer,N/A,N/A,4,4742,N/A,N/A
