,Location,SessionId,Version,Level,matchId,groupId,clientId,Grade,Gender,Number.Older.Siblings,Number.Younger.Siblings,payoff,PlayerName,seekIsland,seekTime,hideIsland,hideTime
1,LF,d1s3,Kinder,1,2,0,0,0,Male,0,0,0,Farmer,N/A,N/A,8,183645
2,LF,d1s3,Kinder,1,2,0,3,0,Female,0,0,8,Pirate,8,16954,N/A,N/A
3,LF,d1s3,Kinder,1,2,1,6,0,Female,0,0,4,Farmer,N/A,N/A,4,128099
4,LF,d1s3,Kinder,1,2,1,8,0,Female,0,0,0,Pirate,8,33045,N/A,N/A
5,LF,d1s3,Kinder,1,2,2,4,0,Female,0,0,8,Pirate,8,19064,N/A,N/A
6,LF,d1s3,Kinder,1,2,2,7,0,Male,0,1,0,Farmer,N/A,N/A,8,153070
7,LF,d1s3,Kinder,1,2,3,2,0,Male,0,1,0,Pirate,8,59470,N/A,N/A
8,LF,d1s3,Kinder,1,2,3,5,0,Female,0,1,4,Farmer,N/A,N/A,4,134537
9,LF,d1s3,Kinder,1,2,4,1,0,Female,1,0,4,Pirate,4,28479,N/A,N/A
10,LF,d1s3,Kinder,1,2,4,9,0,Female,0,1,0,Farmer,N/A,N/A,4,115567
11,LF,d1s3,Kinder,1,3,0,0,0,Male,0,0,8,Pirate,8,27110,N/A,N/A
12,LF,d1s3,Kinder,1,3,0,3,0,Female,0,0,0,Farmer,N/A,N/A,8,34923
13,LF,d1s3,Kinder,1,3,1,6,0,Female,0,0,8,Pirate,8,39611,N/A,N/A
14,LF,d1s3,Kinder,1,3,1,8,0,Female,0,0,0,Farmer,N/A,N/A,8,5791
15,LF,d1s3,Kinder,1,3,2,4,0,Female,0,0,0,Farmer,N/A,N/A,8,18855
16,LF,d1s3,Kinder,1,3,2,7,0,Male,0,1,8,Pirate,8,6040,N/A,N/A
17,LF,d1s3,Kinder,1,3,3,2,0,Male,0,1,8,Farmer,N/A,N/A,8,7423
18,LF,d1s3,Kinder,1,3,3,5,0,Female,0,1,0,Pirate,4,41240,N/A,N/A
19,LF,d1s3,Kinder,1,3,4,1,0,Female,1,0,0,Farmer,N/A,N/A,8,14027
20,LF,d1s3,Kinder,1,3,4,9,0,Female,0,1,8,Pirate,8,13110,N/A,N/A
21,LF,d1s3,Kinder,1,4,0,0,0,Male,0,0,3,Farmer,N/A,N/A,3,24684
22,LF,d1s3,Kinder,1,4,0,3,0,Female,0,0,0,Pirate,8,30913,N/A,N/A
23,LF,d1s3,Kinder,1,4,1,6,0,Female,0,0,3,Farmer,N/A,N/A,3,20048
24,LF,d1s3,Kinder,1,4,1,8,0,Female,0,0,0,Pirate,8,19687,N/A,N/A
25,LF,d1s3,Kinder,1,4,2,4,0,Female,0,0,0,Pirate,8,14185,N/A,N/A
26,LF,d1s3,Kinder,1,4,2,7,0,Male,0,1,3,Farmer,N/A,N/A,3,9044
27,LF,d1s3,Kinder,1,4,3,2,0,Male,0,1,0,Pirate,8,5773,N/A,N/A
