Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
LILA-LF-S1,3,0,0,0,Male,English,4,1,jul.,2008,2,1,Player 2,0,12172,0,0
LILA-LF-S1,3,0,0,1,Female,Art / Music,4,1,sep.,2008,2,0,Player 1,1,14719,0,0
LILA-LF-S1,3,0,0,2,Female,Math / Science,4,1,feb.,2008,4,2,Player 3,2,12032,1,1
LILA-LF-S1,3,0,1,3,Female,Math / Science,4,1,jul.,2008,4,2,Player 3,2,16173,1,1
LILA-LF-S1,3,0,1,4,Male,Math / Science,4,1,may.,2008,2,1,Player 2,0,16579,0,0
LILA-LF-S1,3,0,1,10,Male,Math / Science,4,0,aug.,2008,2,0,Player 1,1,18688,0,0
LILA-LF-S1,3,0,2,6,Female,Art / Music,4,0,dec.,2008,4,2,Player 3,2,9726,1,1
LILA-LF-S1,3,0,2,7,Male,Math / Science,4,0,aug.,2008,4,1,Player 2,1,22516,1,1
LILA-LF-S1,3,0,2,11,Male,Math / Science,4,2 or more,feb.,2008,2,0,Player 1,0,56773,0,0
LILA-LF-S1,3,0,3,5,Male,Math / Science,4,0,aug.,2008,4,0,Player 1,0,69210,0,1
LILA-LF-S1,3,0,3,8,Male,Art / Music,4,1,jul.,2008,4,2,Player 3,2,34501,1,1
LILA-LF-S1,3,0,3,9,Female,Art / Music,4,2 or more,mar.,2008,2,1,Player 2,0,16438,0,0
LILA-LF-S1,4,0,0,1,Female,Art / Music,4,1,sep.,2008,4,1,Player 2,1,14281,1,1
LILA-LF-S1,4,0,0,2,Female,Math / Science,4,1,feb.,2008,4,0,Player 1,1,12813,1,1
LILA-LF-S1,4,0,0,4,Male,Math / Science,4,1,may.,2008,4,2,Player 3,1,20643,1,1
LILA-LF-S1,4,0,1,3,Female,Math / Science,4,1,jul.,2008,2,0,Player 1,1,18969,1,0
LILA-LF-S1,4,0,1,9,Female,Art / Music,4,2 or more,mar.,2008,4,2,Player 3,1,19798,1,1
LILA-LF-S1,4,0,1,10,Male,Math / Science,4,0,aug.,2008,2,1,Player 2,2,20641,0,0
LILA-LF-S1,4,0,2,0,Male,English,4,1,jul.,2008,2,2,Player 3,0,12422,0,0
LILA-LF-S1,4,0,2,6,Female,Art / Music,4,0,dec.,2008,4,0,Player 1,1,58292,1,1
LILA-LF-S1,4,0,2,11,Male,Math / Science,4,2 or more,feb.,2008,2,1,Player 2,1,21755,1,0
LILA-LF-S1,4,0,3,5,Male,Math / Science,4,0,aug.,2008,2,1,Player 2,0,35378,0,0
LILA-LF-S1,4,0,3,7,Male,Math / Science,4,0,aug.,2008,4,2,Player 3,1,6231,1,1
LILA-LF-S1,4,0,3,8,Male,Art / Music,4,1,jul.,2008,2,0,Player 1,1,13473,1,0
LILA-LF-S1,5,0,0,2,Female,Math / Science,4,1,feb.,2008,2,1,Player 2,1,21192,0,0
LILA-LF-S1,5,0,0,7,Male,Math / Science,4,0,aug.,2008,2,0,Player 1,2,23480,1,0
LILA-LF-S1,5,0,0,11,Male,Math / Science,4,2 or more,feb.,2008,4,2,Player 3,0,11497,1,1
LILA-LF-S1,5,0,1,3,Female,Math / Science,4,1,jul.,2008,4,1,Player 2,2,25844,1,1
LILA-LF-S1,5,0,1,9,Female,Art / Music,4,2 or more,mar.,2008,2,0,Player 1,1,21657,0,0
LILA-LF-S1,5,0,1,10,Male,Math / Science,4,0,aug.,2008,4,2,Player 3,0,11219,1,1
LILA-LF-S1,5,0,2,4,Male,Math / Science,4,1,may.,2008,2,0,Player 1,1,12642,0,0
LILA-LF-S1,5,0,2,5,Male,Math / Science,4,0,aug.,2008,4,2,Player 3,0,10050,1,1
LILA-LF-S1,5,0,2,8,Male,Art / Music,4,1,jul.,2008,4,1,Player 2,2,15844,1,1
LILA-LF-S1,5,0,3,0,Male,English,4,1,jul.,2008,4,0,Player 1,1,7187,0,1
LILA-LF-S1,5,0,3,1,Female,Art / Music,4,1,sep.,2008,4,2,Player 3,0,13594,1,1
LILA-LF-S1,5,0,3,6,Female,Art / Music,4,0,dec.,2008,2,1,Player 2,0,19245,0,0
LILA-LF-S1,6,0,0,7,Male,Math / Science,4,0,aug.,2008,4,1,Player 2,0,13817,1,1
LILA-LF-S1,6,0,0,8,Male,Art / Music,4,1,jul.,2008,4,2,Player 3,2,9844,1,1
LILA-LF-S1,6,0,0,10,Male,Math / Science,4,0,aug.,2008,2,0,Player 1,1,13579,0,0
LILA-LF-S1,6,0,1,0,Male,English,4,1,jul.,2008,4,1,Player 2,0,5594,1,1
LILA-LF-S1,6,0,1,1,Female,Art / Music,4,1,sep.,2008,2,0,Player 1,2,17532,0,0
LILA-LF-S1,6,0,1,3,Female,Math / Science,4,1,jul.,2008,4,2,Player 3,2,5469,1,1
LILA-LF-S1,6,0,2,4,Male,Math / Science,4,1,may.,2008,2,1,Player 2,1,7741,0,0
LILA-LF-S1,6,0,2,6,Female,Art / Music,4,0,dec.,2008,4,2,Player 3,2,5403,1,1
