Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,Track,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
LILA-King-S1,3,0,0,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,1,Player 2,1,38923,1,1
LILA-King-S1,3,0,0,4,Female,Math,6,2 or more,jul.,2007,ELD,40,2,Player 3,2,27375,1,1
LILA-King-S1,3,0,0,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,20,0,Player 1,1,35870,0,0
LILA-King-S1,3,0,1,6,Male,History / Geography,8,1,nov.,2005,ELD,20,2,Player 3,0,20142,0,0
LILA-King-S1,3,0,1,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,40,1,Player 2,0,35471,0,1
LILA-King-S1,3,0,1,10,Male,Math,8,1,dec.,2004,ELD,20,0,Player 1,2,14966,1,0
LILA-King-S1,3,0,2,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,20,2,Player 3,0,17048,0,0
LILA-King-S1,3,0,2,7,Male,Science / Technology,8,0,jul.,2005,ELD,40,0,Player 1,1,19066,0,1
LILA-King-S1,3,0,2,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,1,Player 2,2,24138,0,0
LILA-King-S1,3,0,3,1,Male,Math,8,1,apr.,2005,ELD,20,0,Player 1,0,18910,0,0
LILA-King-S1,3,0,3,2,Female,Math,7,2 or more,feb.,2006,ELD,20,2,Player 3,0,10748,0,0
LILA-King-S1,3,0,3,11,Male,Art / Music,6,0,jun.,2006,ELD,20,1,Player 2,1,9171,1,0
LILA-King-S1,4,0,0,1,Male,Math,8,1,apr.,2005,ELD,20,1,Player 2,0,14489,0,0
LILA-King-S1,4,0,0,4,Female,Math,6,2 or more,jul.,2007,ELD,20,0,Player 1,1,32800,1,0
LILA-King-S1,4,0,0,11,Male,Art / Music,6,0,jun.,2006,ELD,40,2,Player 3,1,5130,1,1
LILA-King-S1,4,0,1,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,20,0,Player 1,1,37989,1,0
LILA-King-S1,4,0,1,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,2,Player 3,1,7437,1,1
LILA-King-S1,4,0,1,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,20,1,Player 2,0,18070,0,0
LILA-King-S1,4,0,2,2,Female,Math,7,2 or more,feb.,2006,ELD,20,0,Player 1,1,24916,1,0
LILA-King-S1,4,0,2,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,40,2,Player 3,1,26167,1,1
LILA-King-S1,4,0,2,10,Male,Math,8,1,dec.,2004,ELD,20,1,Player 2,0,11291,0,0
LILA-King-S1,4,0,3,6,Male,History / Geography,8,1,nov.,2005,ELD,20,0,Player 1,0,45662,0,0
LILA-King-S1,4,0,3,7,Male,Science / Technology,8,0,jul.,2005,ELD,40,1,Player 2,1,6616,1,1
LILA-King-S1,4,0,3,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,40,2,Player 3,1,32852,1,1
LILA-King-S1,5,0,0,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,20,1,Player 2,0,22202,0,0
LILA-King-S1,5,0,0,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,40,0,Player 1,1,26039,0,1
LILA-King-S1,5,0,0,10,Male,Math,8,1,dec.,2004,ELD,40,2,Player 3,0,5558,1,1
LILA-King-S1,5,0,1,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,40,2,Player 3,0,14406,1,1
LILA-King-S1,5,0,1,6,Male,History / Geography,8,1,nov.,2005,ELD,40,1,Player 2,2,13634,1,1
LILA-King-S1,5,0,1,11,Male,Art / Music,6,0,jun.,2006,ELD,40,0,Player 1,2,7202,1,1
LILA-King-S1,5,0,2,1,Male,Math,8,1,apr.,2005,ELD,40,2,Player 3,0,9434,1,1
LILA-King-S1,5,0,2,2,Female,Math,7,2 or more,feb.,2006,ELD,40,1,Player 2,2,13421,1,1
LILA-King-S1,5,0,2,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,20,0,Player 1,1,50393,0,0
LILA-King-S1,5,0,3,4,Female,Math,6,2 or more,jul.,2007,ELD,20,1,Player 2,2,11384,1,0
LILA-King-S1,5,0,3,7,Male,Science / Technology,8,0,jul.,2005,ELD,20,2,Player 3,1,7245,0,0
LILA-King-S1,5,0,3,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,40,0,Player 1,2,28831,1,1
LILA-King-S1,6,0,0,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,40,2,Player 3,2,11968,1,1
LILA-King-S1,6,0,0,7,Male,Science / Technology,8,0,jul.,2005,ELD,40,0,Player 1,2,5077,0,1
LILA-King-S1,6,0,0,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,20,1,Player 2,1,14669,0,0
LILA-King-S1,6,0,1,4,Female,Math,6,2 or more,jul.,2007,ELD,40,2,Player 3,2,12966,1,1
LILA-King-S1,6,0,1,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,20,0,Player 1,1,19867,0,0
LILA-King-S1,6,0,1,11,Male,Art / Music,6,0,jun.,2006,ELD,20,1,Player 2,1,9295,0,0
LILA-King-S1,6,0,2,2,Female,Math,7,2 or more,feb.,2006,ELD,40,2,Player 3,2,15063,1,1
LILA-King-S1,6,0,2,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,1,Player 2,0,33789,1,1
LILA-King-S1,6,0,2,10,Male,Math,8,1,dec.,2004,ELD,20,0,Player 1,2,9124,0,0
LILA-King-S1,6,0,3,1,Male,Math,8,1,apr.,2005,ELD,20,0,Player 1,2,10967,0,0
LILA-King-S1,6,0,3,6,Male,History / Geography,8,1,nov.,2005,ELD,40,2,Player 3,2,19585,1,1
LILA-King-S1,6,0,3,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,20,1,Player 2,2,22718,0,0
LILA-King-S1,7,0,0,0,Male,Science / Technology,6,2 or more,dec.,2005,ELD,40,0,Player 1,2,13272,0,1
LILA-King-S1,7,0,0,8,Female,Science / Technology,7,2 or more,nov.,2005,ELD,40,2,Player 3,0,14760,1,1
LILA-King-S1,7,0,0,10,Male,Math,8,1,dec.,2004,ELD,20,1,Player 2,1,89485,0,0
LILA-King-S1,7,0,1,1,Male,Math,8,1,apr.,2005,ELD,20,1,Player 2,1,7048,0,0
LILA-King-S1,7,0,1,6,Male,History / Geography,8,1,nov.,2005,ELD,20,0,Player 1,0,38075,1,0
LILA-King-S1,7,0,1,9,Female,Art / Music,7,2 or more,aug.,2004,ELD,40,2,Player 3,0,58884,1,1
LILA-King-S1,7,0,2,2,Female,Math,7,2 or more,feb.,2006,ELD,20,0,Player 1,0,12048,1,0
LILA-King-S1,7,0,2,3,Female,History / Geography,6,2 or more,apr.,2007,ELD,40,2,Player 3,0,8293,1,1
LILA-King-S1,7,0,2,5,Female,Art / Music,7,2 or more,aug.,2006,ELD,20,1,Player 2,1,27849,0,0
LILA-King-S1,7,0,3,4,Female,Math,6,2 or more,jul.,2007,ELD,20,0,Player 1,2,27453,0,0
LILA-King-S1,7,0,3,7,Male,Science / Technology,8,0,jul.,2005,ELD,40,1,Player 2,0,2998,1,1
LILA-King-S1,7,0,3,11,Male,Art / Music,6,0,jun.,2006,ELD,40,2,Player 3,0,3872,1,1
