Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,Magnet,Track,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
LILA-KingA-S1,0,0,0,4,Male,Art / Music,6,1,may,2008,STEAM,Honors,20,0,Player 1,1,22125,FALSE,FALSE
LILA-KingA-S1,0,0,1,8,Female,Science / Technology,6,1,aug.,2008,STEAM,Honors,40,1,Player 2,1,34512,TRUE,TRUE
LILA-KingA-S1,0,0,2,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,20,1,Player 2,1,236430,TRUE,FALSE
LILA-KingA-S1,0,0,0,9,Female,Art / Music,6,2 or more,jul.,2008,STEAM,Honors,40,2,Player 3,2,21370,TRUE,TRUE
LILA-KingA-S1,0,0,3,1,Female,English,6,0,aug.,2008,STEAM,Honors,20,0,Player 1,1,15108,FALSE,FALSE
LILA-KingA-S1,0,0,0,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,20,1,Player 2,0,23899,FALSE,FALSE
LILA-KingA-S1,0,0,2,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,20,2,Player 3,0,25924,FALSE,FALSE
LILA-KingA-S1,0,0,1,3,Male,Science / Technology,6,1,sep.,2008,STEAM,Honors,40,2,Player 3,2,20246,TRUE,TRUE
LILA-KingA-S1,0,0,3,6,Male,English,6,1,jun.,2008,STEAM,Honors,40,2,Player 3,2,25656,TRUE,TRUE
LILA-KingA-S1,0,0,3,2,Male,Science / Technology,6,0,nov.,2007,STEAM,Honors,20,1,Player 2,0,45670,FALSE,FALSE
LILA-KingA-S1,0,0,2,7,Male,Art / Music,6,2 or more,sep.,2008,STEAM,Honors,40,0,Player 1,2,38292,TRUE,TRUE
LILA-KingA-S1,0,0,1,10,Male,English,6,2 or more,mar.,2008,STEAM,Honors,20,0,Player 1,1,36296,FALSE,FALSE
LILA-KingA-S1,1,0,3,0,Male,Science / Technology,6,2 or more,oct.,2008,STEAM,Honors,20,0,Player 1,1,10212,TRUE,FALSE
LILA-KingA-S1,1,0,3,11,Female,History / Geography,6,2 or more,mar.,2008,STEAM,Honors,40,2,Player 3,1,8139,TRUE,TRUE
LILA-KingA-S1,1,0,0,5,Male,English,6,2 or more,feb.,2008,STEAM,Honors,40,2,Player 3,1,11642,TRUE,TRUE
