Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
LILA-Burbank-S1,3,0,0,0,Female,Science / Technology,11FB,1,oct.,2001,40,1,Player 2,1,14174,1,1
LILA-Burbank-S1,15,0,0,0,Female,Science / Technology,11FB,1,oct.,2001,40,1,Player 2,0,9154,1,1
LILA-Burbank-S1,19,0,0,0,Female,Science / Technology,11FB,1,oct.,2001,40,2,Player 3,1,4174,1,1
LILA-Burbank-S1,3,0,0,1,Female,Math,11FB,1,apr.,2002,40,2,Player 3,2,11126,1,1
LILA-Burbank-S1,8,0,0,1,Female,Math,11FB,1,apr.,2002,40,1,Player 2,0,12423,1,1
LILA-Burbank-S1,10,0,0,1,Female,Math,11FB,1,apr.,2002,40,0,Player 1,1,8719,1,1
LILA-Burbank-S1,12,0,0,1,Female,Math,11FB,1,apr.,2002,40,2,Player 3,2,4344,1,1
LILA-Burbank-S1,18,0,0,1,Female,Math,11FB,1,apr.,2002,40,2,Player 3,0,3875,1,1
LILA-Burbank-S1,6,0,0,2,Male,Science / Technology,11FB,1,jul.,2001,40,0,Player 1,0,9037,1,1
LILA-Burbank-S1,5,0,0,3,Male,Science / Technology,11FB,1,mar.,2001,40,2,Player 3,0,7876,1,1
LILA-Burbank-S1,7,0,0,3,Male,Science / Technology,11FB,1,mar.,2001,40,1,Player 2,0,10888,1,1
LILA-Burbank-S1,8,0,0,3,Male,Science / Technology,11FB,1,mar.,2001,40,2,Player 3,2,4815,1,1
LILA-Burbank-S1,10,0,0,3,Male,Science / Technology,11FB,1,mar.,2001,40,1,Player 2,2,10221,1,1
LILA-Burbank-S1,12,0,0,3,Male,Science / Technology,11FB,1,mar.,2001,40,0,Player 1,2,12851,1,1
LILA-Burbank-S1,19,0,0,3,Male,Science / Technology,11FB,1,mar.,2001,40,1,Player 2,2,8863,1,1
LILA-Burbank-S1,20,0,0,3,Male,Science / Technology,11FB,1,mar.,2001,40,2,Player 3,2,3673,1,1
LILA-Burbank-S1,6,0,0,4,Female,French,11FB,1,aug.,2001,40,2,Player 3,2,6397,1,1
LILA-Burbank-S1,7,0,0,4,Female,French,11FB,1,aug.,2001,40,0,Player 1,0,12719,1,1
LILA-Burbank-S1,11,0,0,4,Female,French,11FB,1,aug.,2001,40,1,Player 2,0,6410,1,1
LILA-Burbank-S1,13,0,0,4,Female,French,11FB,1,aug.,2001,40,0,Player 1,1,6672,1,1
LILA-Burbank-S1,17,0,0,4,Female,French,11FB,1,aug.,2001,40,1,Player 2,0,9688,1,1
LILA-Burbank-S1,19,0,0,4,Female,French,11FB,1,aug.,2001,40,0,Player 1,1,6469,1,1
