Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
FROG-S1,2,0,0,5,Male,Math / Science,K,2 or more,feb.,2012,1,1,Player 2,2,83410,0,0
FROG-S1,2,0,0,6,Female,French,K,1,jul.,2012,1,0,Player 1,0,58236,0,0
FROG-S1,2,0,1,10,Female,French,K,2 or more,aug.,2012,2,1,Player 2,1,96139,1,1
FROG-S1,2,0,1,11,Male,English,K,0,may.,2012,2,0,Player 1,2,119683,1,1
FROG-S1,2,0,2,2,Male,Math / Science,K,1,oct.,2012,2,1,Player 2,1,161680,1,1
FROG-S1,2,0,2,4,Male,French,K,2 or more,sep.,2012,1,0,Player 1,1,90695,0,0
FROG-S1,2,0,3,0,Male,Math / Science,K,1,may.,2012,1,1,Player 2,0,18173,0,0
FROG-S1,2,0,3,8,Female,Art / Music,K,1,sep.,2012,1,0,Player 1,2,217629,1,0
FROG-S1,2,0,4,3,Male,English,K,1,jun.,2012,2,0,Player 1,2,55600,1,1
FROG-S1,2,0,4,7,Female,English,K,1,sep.,2012,2,1,Player 2,1,45939,1,1
FROG-S1,2,0,5,1,Male,Math / Science,K,2 or more,oct.,2012,2,1,Player 2,1,141007,1,1
FROG-S1,2,0,5,9,Female,French,K,1,feb.,2012,1,0,Player 1,1,196805,0,0
FROG-S1,3,0,0,6,Female,French,K,1,jul.,2012,2,1,Player 2,2,16060,1,1
FROG-S1,3,0,0,7,Female,English,K,1,sep.,2012,1,0,Player 1,2,23939,0,0
FROG-S1,3,0,1,2,Male,Math / Science,K,1,oct.,2012,1,0,Player 1,2,93805,0,0
FROG-S1,3,0,1,8,Female,Art / Music,K,1,sep.,2012,2,1,Player 2,2,23563,1,1
FROG-S1,3,0,2,9,Female,French,K,1,feb.,2012,2,1,Player 2,2,77409,1,1
FROG-S1,3,0,2,10,Female,French,K,2 or more,aug.,2012,1,0,Player 1,1,55689,0,0
FROG-S1,3,0,3,1,Male,Math / Science,K,2 or more,oct.,2012,1,0,Player 1,2,65511,0,0
FROG-S1,3,0,3,11,Male,English,K,0,may.,2012,2,1,Player 2,2,60342,1,1
FROG-S1,3,0,4,0,Male,Math / Science,K,1,may.,2012,1,0,Player 1,2,80295,0,0
FROG-S1,3,0,4,4,Male,French,K,2 or more,sep.,2012,1,1,Player 2,1,34755,0,0
FROG-S1,3,0,5,3,Male,English,K,1,jun.,2012,1,1,Player 2,0,67062,0,0
