participant.id_in_session,participant.code,participant.payoff,player.id_in_group,player.P1,player.P2,player.payoff,subsession.round_number,subsession.treatment_type,subsession.num_initial_points,subsession.X,subsession.Y,subsession.Z,subsession.subsession_pk,session.code,session.label
1,4txh2c97,651,1,45,45,310,1,3,300,45,20,10,441,8xa6r37h,D1S1b
2,ypfig1f3,596,2,45,45,310,1,3,300,45,20,10,441,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,45,45,310,1,3,300,45,20,10,441,8xa6r37h,D1S1b
4,67h951jm,698,4,45,45,310,1,3,300,45,20,10,441,8xa6r37h,D1S1b
5,nhermg8t,477,5,35,35,300,1,3,300,45,20,10,441,8xa6r37h,D1S1b
6,6kaajdsd,738,6,45,45,310,1,3,300,45,20,10,441,8xa6r37h,D1S1b
7,eakesbfr,620,7,46,46,309,1,3,300,45,20,10,441,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,50,50,305,1,3,300,45,20,10,441,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,55,55,300,1,3,300,45,20,10,441,8xa6r37h,D1S1b
1,4txh2c97,651,1,16,16,19,2,3,300,15,30,20,442,8xa6r37h,D1S1b
2,ypfig1f3,596,2,15,15,20,2,3,300,15,30,20,442,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,15,15,20,2,3,300,15,30,20,442,8xa6r37h,D1S1b
4,67h951jm,698,4,15,15,20,2,3,300,15,30,20,442,8xa6r37h,D1S1b
5,nhermg8t,477,5,35,35,0,2,3,300,15,30,20,442,8xa6r37h,D1S1b
6,6kaajdsd,738,6,15,15,20,2,3,300,15,30,20,442,8xa6r37h,D1S1b
7,eakesbfr,620,7,15,15,20,2,3,300,15,30,20,442,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,25,25,10,2,3,300,15,30,20,442,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,15,15,20,2,3,300,15,30,20,442,8xa6r37h,D1S1b
1,4txh2c97,651,1,31,31,14,3,3,300,30,50,15,443,8xa6r37h,D1S1b
2,ypfig1f3,596,2,30,30,15,3,3,300,30,50,15,443,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,30,30,15,3,3,300,30,50,15,443,8xa6r37h,D1S1b
4,67h951jm,698,4,30,30,15,3,3,300,30,50,15,443,8xa6r37h,D1S1b
5,nhermg8t,477,5,35,35,10,3,3,300,30,50,15,443,8xa6r37h,D1S1b
6,6kaajdsd,738,6,30,30,15,3,3,300,30,50,15,443,8xa6r37h,D1S1b
7,eakesbfr,620,7,30,30,15,3,3,300,30,50,15,443,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,35,35,10,3,3,300,30,50,15,443,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,30,30,15,3,3,300,30,50,15,443,8xa6r37h,D1S1b
1,4txh2c97,651,1,25,25,15,4,1,300,20,25,10,444,8xa6r37h,D1S1b
2,ypfig1f3,596,2,25,25,15,4,1,300,20,25,10,444,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,25,25,15,4,1,300,20,25,10,444,8xa6r37h,D1S1b
4,67h951jm,698,4,25,25,15,4,1,300,20,25,10,444,8xa6r37h,D1S1b
5,nhermg8t,477,5,35,35,-5,4,1,300,20,25,10,444,8xa6r37h,D1S1b
6,6kaajdsd,738,6,25,25,15,4,1,300,20,25,10,444,8xa6r37h,D1S1b
7,eakesbfr,620,7,25,25,15,4,1,300,20,25,10,444,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,30,30,5,4,1,300,20,25,10,444,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,25,25,15,4,1,300,20,25,10,444,8xa6r37h,D1S1b
1,4txh2c97,651,1,40,40,20,5,1,300,40,30,15,445,8xa6r37h,D1S1b
2,ypfig1f3,596,2,40,40,20,5,1,300,40,30,15,445,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,40,40,20,5,1,300,40,30,15,445,8xa6r37h,D1S1b
4,67h951jm,698,4,40,40,20,5,1,300,40,30,15,445,8xa6r37h,D1S1b
5,nhermg8t,477,5,20,20,0,5,1,300,40,30,15,445,8xa6r37h,D1S1b
6,6kaajdsd,738,6,40,40,20,5,1,300,40,30,15,445,8xa6r37h,D1S1b
7,eakesbfr,620,7,40,40,20,5,1,300,40,30,15,445,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,45,45,10,5,1,300,40,30,15,445,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,40,40,20,5,1,300,40,30,15,445,8xa6r37h,D1S1b
1,4txh2c97,651,1,60,60,10,6,1,300,60,30,20,446,8xa6r37h,D1S1b
2,ypfig1f3,596,2,60,60,10,6,1,300,60,30,20,446,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,60,60,10,6,1,300,60,30,20,446,8xa6r37h,D1S1b
4,67h951jm,698,4,30,30,20,6,1,300,60,30,20,446,8xa6r37h,D1S1b
5,nhermg8t,477,5,75,75,-20,6,1,300,60,30,20,446,8xa6r37h,D1S1b
6,6kaajdsd,738,6,30,30,20,6,1,300,60,30,20,446,8xa6r37h,D1S1b
7,eakesbfr,620,7,60,60,10,6,1,300,60,30,20,446,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,65,65,0,6,1,300,60,30,20,446,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,60,60,10,6,1,300,60,30,20,446,8xa6r37h,D1S1b
1,4txh2c97,651,1,40,40,5,7,1,300,40,15,15,447,8xa6r37h,D1S1b
2,ypfig1f3,596,2,40,40,5,7,1,300,40,15,15,447,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,40,40,5,7,1,300,40,15,15,447,8xa6r37h,D1S1b
4,67h951jm,698,4,15,15,15,7,1,300,40,15,15,447,8xa6r37h,D1S1b
5,nhermg8t,477,5,30,30,0,7,1,300,40,15,15,447,8xa6r37h,D1S1b
6,6kaajdsd,738,6,15,15,15,7,1,300,40,15,15,447,8xa6r37h,D1S1b
7,eakesbfr,620,7,40,40,5,7,1,300,40,15,15,447,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,50,50,-15,7,1,300,40,15,15,447,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,15,15,15,7,1,300,40,15,15,447,8xa6r37h,D1S1b
1,4txh2c97,651,1,25,25,20,8,1,300,25,15,15,448,8xa6r37h,D1S1b
2,ypfig1f3,596,2,25,25,20,8,1,300,25,15,15,448,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,25,25,20,8,1,300,25,15,15,448,8xa6r37h,D1S1b
4,67h951jm,698,4,25,25,20,8,1,300,25,15,15,448,8xa6r37h,D1S1b
5,nhermg8t,477,5,25,25,20,8,1,300,25,15,15,448,8xa6r37h,D1S1b
6,6kaajdsd,738,6,25,25,20,8,1,300,25,15,15,448,8xa6r37h,D1S1b
7,eakesbfr,620,7,25,25,20,8,1,300,25,15,15,448,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,35,35,0,8,1,300,25,15,15,448,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,25,25,20,8,1,300,25,15,15,448,8xa6r37h,D1S1b
1,4txh2c97,651,1,50,50,30,9,1,300,50,40,20,449,8xa6r37h,D1S1b
2,ypfig1f3,596,2,50,50,30,9,1,300,50,40,20,449,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,40,40,20,9,1,300,50,40,20,449,8xa6r37h,D1S1b
4,67h951jm,698,4,50,50,30,9,1,300,50,40,20,449,8xa6r37h,D1S1b
5,nhermg8t,477,5,50,50,30,9,1,300,50,40,20,449,8xa6r37h,D1S1b
6,6kaajdsd,738,6,50,50,30,9,1,300,50,40,20,449,8xa6r37h,D1S1b
7,eakesbfr,620,7,50,50,30,9,1,300,50,40,20,449,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,55,55,20,9,1,300,50,40,20,449,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,50,50,30,9,1,300,50,40,20,449,8xa6r37h,D1S1b
1,4txh2c97,651,1,45,45,5,10,1,300,30,45,10,450,8xa6r37h,D1S1b
2,ypfig1f3,596,2,45,45,5,10,1,300,30,45,10,450,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,45,45,5,10,1,300,30,45,10,450,8xa6r37h,D1S1b
4,67h951jm,698,4,30,30,10,10,1,300,30,45,10,450,8xa6r37h,D1S1b
5,nhermg8t,477,5,30,30,10,10,1,300,30,45,10,450,8xa6r37h,D1S1b
6,6kaajdsd,738,6,30,30,10,10,1,300,30,45,10,450,8xa6r37h,D1S1b
7,eakesbfr,620,7,45,45,5,10,1,300,30,45,10,450,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,50,50,-5,10,1,300,30,45,10,450,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,30,30,10,10,1,300,30,45,10,450,8xa6r37h,D1S1b
1,4txh2c97,651,1,20,20,15,11,1,300,45,20,15,451,8xa6r37h,D1S1b
2,ypfig1f3,596,2,45,45,5,11,1,300,45,20,15,451,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,20,20,15,11,1,300,45,20,15,451,8xa6r37h,D1S1b
4,67h951jm,698,4,20,20,15,11,1,300,45,20,15,451,8xa6r37h,D1S1b
5,nhermg8t,477,5,45,45,5,11,1,300,45,20,15,451,8xa6r37h,D1S1b
6,6kaajdsd,738,6,20,20,15,11,1,300,45,20,15,451,8xa6r37h,D1S1b
7,eakesbfr,620,7,35,35,0,11,1,300,45,20,15,451,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,50,50,-5,11,1,300,45,20,15,451,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,20,20,15,11,1,300,45,20,15,451,8xa6r37h,D1S1b
1,4txh2c97,651,1,40,40,20,12,1,300,40,30,15,452,8xa6r37h,D1S1b
2,ypfig1f3,596,2,40,40,20,12,1,300,40,30,15,452,8xa6r37h,D1S1b
