,Campus,SessionName,participantID,Payoff,Digitpayoff,CorrectDS2,CorrectDS3,CorrectDS4,CorrectDS5,CorrectDS6,CorrectDS7,CorrectDS8,SpanIndiv,TotalCorrect
0,Burbank,CtrlS1a,0fzcxbs6,558,180,2,2,2,1,2,0,0,4,9
1,Burbank,CtrlS1a,1iie0vvi,553,160,2,2,2,1,0,1,0,4,8
2,Burbank,CtrlS1a,2h0na5lh,482,220,2,2,2,1,2,2,0,4,11
3,Burbank,CtrlS1a,g1lhxmso,556,160,2,2,2,2,0,0,0,5,8
4,Burbank,CtrlS1a,h9dkh349,558,160,2,2,2,2,0,0,0,5,8
5,Burbank,CtrlS1a,p55z5l08,555,240,2,2,2,2,2,2,0,7,12
6,Burbank,CtrlS1a,szyofb2k,558,80,2,1,1,0,0,0,0,2,4
7,Burbank,CtrlS1a,tbaqs6vu,548,180,2,2,2,2,1,0,0,5,9
8,Burbank,CtrlS1a,uazsyypz,558,200,2,2,2,2,0,2,0,5,10
9,Burbank,CtrlS1b,05amtxnl,553,200,2,2,2,2,1,1,0,5,10
10,Burbank,CtrlS1b,26fqery8,553,80,2,1,1,0,0,0,0,2,4
11,Burbank,CtrlS1b,5gwaas9x,553,200,2,2,2,2,2,0,0,6,10
12,Burbank,CtrlS1b,gsag3p40,523,220,2,2,2,2,2,1,0,6,11
13,Burbank,CtrlS1b,hzbnp1ls,553,160,2,2,1,2,1,0,0,3,8
14,Burbank,CtrlS1b,l86vczy2,558,120,2,2,1,1,0,0,0,3,6
15,Burbank,CtrlS1b,vy29wnar,553,140,2,1,2,2,0,0,0,2,7
16,Burbank,CtrlS1b,x7l7j81d,558,240,2,2,2,2,2,2,0,7,12
17,Burbank,CtrlS1b,y5cg1cch,548,140,2,1,2,1,1,0,0,2,7
18,Burbank,CtrlS2a,11duyplb,558,240,2,2,2,2,2,2,0,7,12
19,Burbank,CtrlS2a,1qc0t35h,523,80,2,1,0,1,0,0,0,2,4
20,Burbank,CtrlS2a,5ehzgrqb,516,180,2,2,2,2,0,1,0,5,9
21,Burbank,CtrlS2a,akoyrmek,558,180,2,2,2,2,1,0,0,5,9
22,Burbank,CtrlS2a,es2a9f10,495,40,2,0,0,0,0,0,0,2,2
23,Burbank,CtrlS2a,isswi2f8,558,180,2,2,2,2,1,0,0,5,9
24,Burbank,CtrlS2a,j6rsdn9k,526,220,2,2,2,1,2,2,0,4,11
25,Burbank,CtrlS2a,johez08z,460,120,2,2,2,0,0,0,0,4,6
26,Burbank,CtrlS2a,mry4admf,558,240,2,2,2,2,2,2,0,7,12
27,Burbank,CtrlS2a,wqm9aaei,538,220,2,2,2,2,2,1,0,6,11
28,Burbank,CtrlS2a,zpq8zbfv,558,160,2,2,2,2,0,0,0,5,8
29,Burbank,CtrlS2b,1kvjkozu,558,200,2,2,2,1,2,1,0,4,10
30,Burbank,CtrlS2b,3htxoqg4,516,120,2,1,2,1,0,0,0,2,6
31,Burbank,CtrlS2b,4qscz02h,530,240,2,2,2,2,2,2,0,7,12
32,Burbank,CtrlS2b,ch7d1atl,558,120,2,2,2,0,0,0,0,4,6
33,Burbank,CtrlS2b,do8hiv7m,558,220,2,2,2,2,1,2,0,5,11
34,Burbank,CtrlS2b,mfhm6me5,489,60,2,0,0,1,0,0,0,2,3
35,Burbank,CtrlS2b,sdvkksvt,558,120,2,1,1,1,1,0,0,2,6
36,Burbank,CtrlS2b,txaughor,516,140,2,2,2,1,0,0,0,4,7
37,Burbank,CtrlS2b,xo57sufo,543,200,2,2,2,2,1,1,0,5,10
38,Burbank,CtrlS2b,yvnjeph4,548,80,2,1,0,1,0,0,0,2,4
39,Burbank,CtrlS2b,z6nxjqwn,516,180,2,2,2,2,1,0,0,5,9
40,Burbank,CtrlS3a,4slpzdit,551,180,2,2,2,1,1,1,0,4,9
41,Burbank,CtrlS3a,5tlkavqb,548,200,2,2,2,2,2,0,0,6,10
42,Burbank,CtrlS3a,9thiuynr,503,20,1,0,0,0,0,0,0,0,1
43,Burbank,CtrlS3a,dq2pw632,553,100,2,1,0,1,1,0,0,2,5
44,Burbank,CtrlS3a,gi3vwfp1,526,200,2,2,2,2,1,1,0,5,10
45,Burbank,CtrlS3a,gz0aka7g,558,240,2,2,2,2,2,2,0,7,12
46,Burbank,CtrlS3a,khsba8jn,558,240,2,2,2,2,2,2,0,7,12
47,Burbank,CtrlS3a,osg93izv,558,240,2,2,2,2,2,2,0,7,12
48,Burbank,CtrlS3a,seq67b14,558,180,2,2,1,1,2,1,0,3,9
49,Burbank,CtrlS3a,w6mtox6g,499,160,2,2,2,1,0,1,0,4,8
50,Burbank,CtrlS3a,xibvezej,558,160,2,2,2,2,0,0,0,5,8
51,Burbank,CtrlS3b,2rfe7328,516,220,2,2,2,1,2,2,0,4,11
52,Burbank,CtrlS3b,5me6y0n8,516,60,1,1,1,0,0,0,0,0,3
53,Burbank,CtrlS3b,c7xa34o3,528,120,2,1,2,1,0,0,0,2,6
54,Burbank,CtrlS3b,fb4toy6f,558,220,2,2,2,2,1,2,0,5,11
55,Burbank,CtrlS3b,hadt9s7t,558,160,2,2,2,1,1,0,0,4,8
56,Burbank,CtrlS3b,p147fzhc,558,200,2,2,2,1,2,1,0,4,10
57,Burbank,CtrlS3b,qasj7dlb,115,0,0,0,0,0,0,0,0,0,0
58,Burbank,CtrlS3b,qz4ybvrr,558,220,2,2,1,2,2,2,0,3,11
59,Burbank,CtrlS3b,r2zmhm2a,553,180,2,2,2,1,2,0,0,4,9
60,Burbank,CtrlS3b,ulci63ru,558,160,2,2,2,2,0,0,0,5,8
61,Burbank,CtrlS3b,wkqle90y,558,120,2,1,2,0,1,0,0,2,6
62,Burbank,CtrlS4a,16kwc0ce,548,180,2,1,2,2,1,1,0,2,9
63,Burbank,CtrlS4a,19vl4nat,558,140,2,1,2,1,0,1,0,2,7
64,Burbank,CtrlS4a,8mgis920,558,200,2,2,2,2,1,1,0,5,10
65,Burbank,CtrlS4a,g4lqm754,484,160,2,2,1,1,2,0,0,3,8
