participant.id_in_session,participant.code,participant.payoff,player.id_in_group,player.gender,player.num_siblings,player.grade,player.school_subject,player.birth_month,player.birth_year,session.code,session.label
1,4txh2c97,651,1,Female,Yes,8th,Arts / Music,Oct.,2005,8xa6r37h,D1S1b
2,ypfig1f3,596,2,Female,Yes,8th,History / Geography,Jul.,2006,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,Female,Yes,8th,Science / Technology,Oct.,2006,8xa6r37h,D1S1b
4,67h951jm,698,4,Female,No,8th,Arts / Music,Nov.,2006,8xa6r37h,D1S1b
5,nhermg8t,477,5,Male,No,8th,History / Geography,Nov.,2005,8xa6r37h,D1S1b
6,6kaajdsd,738,6,Male,Yes,8th,Math,May,2006,8xa6r37h,D1S1b
7,eakesbfr,620,7,Male,Yes,8th,Math,Jun.,2006,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,Female,Yes,8th,Languages,Jul.,2006,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,Female,Yes,8th,Arts / Music,Feb.,2006,8xa6r37h,D1S1b
1,23ayha3q,658,1,Female,Yes,8th,Math,Oct.,2005,wo8qyx0k,D1S1a
2,5ysg83br,615,2,Female,Yes,8th,Arts / Music,Oct.,2006,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,Male,Yes,8th,Arts / Music,Dec.,2006,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,Female,Yes,8th,Math,Sep.,2006,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,Female,Yes,8th,Arts / Music,Jan.,2006,wo8qyx0k,D1S1a
6,5njrdc92,696,6,Male,Yes,None,Math,Apr.,Before 2001,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,Male,Yes,8th,History / Geography,May,2006,wo8qyx0k,D1S1a
8,do4mopds,613,8,Female,Yes,8th,Arts / Music,Mar.,2006,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,Female,Yes,8th,Arts / Music,Nov.,2005,wo8qyx0k,D1S1a
1,g4yavcvk,738,1,Male,No,11th,Science / Technology,Jul.,2003,g361oxu5,D1S2a
2,z6fsvvag,671,2,Female,Yes,11th,Arts / Music,Sep.,2002,g361oxu5,D1S2a
3,5c4k7qja,540,3,Male,Yes,11th,Languages,Jul.,2003,g361oxu5,D1S2a
4,33pqumcg,712,4,Male,Yes,11th,Math,Sep.,2003,g361oxu5,D1S2a
5,hgn7vhxs,618,5,Male,Yes,11th,Languages,Aug.,2003,g361oxu5,D1S2a
6,t0u42n6p,636,6,Female,Yes,11th,Languages,Nov.,2003,g361oxu5,D1S2a
1,5kzghcf9,677,1,Male,Yes,11th,Arts / Music,May,2002,5bh1nlpb,D1S2b
2,bpg2g3w9,698,2,Male,Yes,11th,Science / Technology,Dec.,2003,5bh1nlpb,D1S2b
3,c0m6m3x7,425,3,Female,Yes,11th,Arts / Music,May,2003,5bh1nlpb,D1S2b
4,gctp94vo,565,4,Female,No,11th,Science / Technology,Feb.,2003,5bh1nlpb,D1S2b
5,6we36zqx,645,5,Female,Yes,11th,Languages,Jul.,2003,5bh1nlpb,D1S2b
6,uynu922s,744,6,Male,Yes,None,Math,Nov.,Before 2001,5bh1nlpb,D1S2b
1,hhbpgbkl,683,1,Female,Yes,8th,Arts / Music,Sep.,2006,mysixbfh,D1S3a
2,1topemat,698,2,Female,Yes,8th,Arts / Music,Mar.,2006,mysixbfh,D1S3a
3,gzqbfb7q,663,3,Female,Yes,8th,Math,Jan.,2007,mysixbfh,D1S3a
4,8h2ylwdd,673,4,Male,Yes,8th,Math,Nov.,2006,mysixbfh,D1S3a
5,4jomuqjt,663,5,Male,Yes,8th,Math,Nov.,2006,mysixbfh,D1S3a
6,uvluol79,520,6,Female,Yes,8th,Arts / Music,Mar.,2006,mysixbfh,D1S3a
7,0nrgp9i7,540,7,Male,Yes,8th,Arts / Music,Sep.,2006,mysixbfh,D1S3a
8,gc9mqw6e,653,8,Male,No,8th,Arts / Music,Nov.,2005,mysixbfh,D1S3a
1,4ga57lk5,612,1,Female,No,8th,Math,Jul.,2006,0qmeje7b,D1S3b
