Location,Group,clientId,Choice set,Gender,Grade,Older siblings,Younger siblings,payoff,choiceSelf,choiceOther,choiceTime,click.0.index,click.1.index,click.2.index,click.3.index,click.4.index,click.5.index
BUR,67-G1,8,1,M,7,0,1,12,10,2,15172,0,3,1,4,2,5
BUR,67-G1,8,2,M,7,0,1,12,12,4,14623,0,3,1,4,2,5
BUR,67-G1,8,3,M,7,0,1,15,12,3,7553,0,3,1,4,2,5
BUR,67-G1,8,4,M,7,0,1,8,4,0,14946,0,3,1,4,2,5
BUR,67-G1,3,1,M,6,0,1,14,12,2,9485,0,3,1,4,2,5
BUR,67-G1,3,2,M,6,0,1,16,12,4,7734,0,3,1,4,2,5
BUR,67-G1,3,3,M,6,0,1,15,12,3,6719,0,3,1,4,2,5
BUR,67-G1,3,4,M,6,0,1,8,4,8,11266,0,3,1,4,2,5
BUR,67-G1,7,1,M,6,0,0,14,12,2,5735,0,3,1,4,2,5
BUR,67-G1,7,2,M,6,0,0,16,12,4,4734,0,3,1,4,2,5
BUR,67-G1,7,3,M,6,0,0,18,12,0,6031,0,3,1,4,2,5
BUR,67-G1,7,4,M,6,0,0,8,4,4,8047,0,3,1,4,2,5
BUR,67-G1,1,1,M,6,0,1,10,8,8,11641,0,3,1,4,2,5
BUR,67-G1,1,2,M,6,0,1,24,12,4,17985,0,3,1,4,2,5
BUR,67-G1,1,3,M,6,0,1,6,6,6,16500,0,3,1,4,2,5
BUR,67-G1,1,4,M,6,0,1,8,4,8,7125,0,3,1,4,2,5
BUR,67-G1,4,1,F,7,2,0,20,12,2,10848,0,3,1,4,2,5
BUR,67-G1,4,2,F,7,2,0,16,12,4,8041,0,3,1,4,2,5
BUR,67-G1,4,3,F,7,2,0,15,12,0,9217,0,3,1,4,2,5
BUR,67-G1,4,4,F,7,2,0,12,4,4,8437,0,3,1,4,2,5
BUR,67-G1,0,1,M,6,1,0,20,12,2,11587,0,1,2,3,4,5
BUR,67-G1,0,2,M,6,1,0,16,12,4,8601,0,1,2,3,4,5
BUR,67-G1,0,3,M,6,1,0,12,12,0,6256,0,1,2,4,5,3
BUR,67-G1,0,4,M,6,1,0,8,4,4,8170,0,1,2,3,4,5
BUR,67-G1,10,1,F,7,0,0,14,12,2,10928,2,5,1,4,0,3
BUR,67-G1,10,2,F,7,0,0,16,12,4,10484,0,3,1,4,2,5
BUR,67-G1,10,3,F,7,0,0,12,12,3,7277,0,3,1,4,2,5
BUR,67-G1,10,4,F,7,0,0,8,4,8,9787,0,3,1,4,2,5
BUR,67-G1,6,1,F,7,0,0,20,12,2,12626,0,3,1,4,2,5
BUR,67-G1,6,2,F,7,0,0,8,4,0,9079,1,4,2,5,0,3
BUR,67-G1,6,3,F,7,0,0,15,12,0,10313,3,1,5,2,0,4
BUR,67-G1,6,4,F,7,0,0,4,4,4,8141,0,1,2,3,4,5
BUR,67-G1,5,1,F,7,0,1,10,8,8,11751,0,3,1,4,2,5
BUR,67-G1,5,2,F,7,0,1,16,12,4,9126,0,3,1,4,2,5
BUR,67-G1,5,3,F,7,0,1,12,12,3,7031,0,3,1,4,2,5
BUR,67-G1,5,4,F,7,0,1,12,4,4,6079,0,3,1,4,2,5
BUR,67-G1,11,1,F,6,0,2,10,8,8,7235,0,1,2,3,4,5
BUR,67-G1,11,2,F,6,0,2,8,4,12,6610,0,1,2,,,
BUR,67-G1,11,3,F,6,0,2,12,12,0,9735,1,4,2,5,0,3
BUR,67-G1,11,4,F,6,0,2,12,4,4,8797,0,3,1,4,2,5
BUR,67-G1,2,1,F,6,0,1,20,12,2,9781,0,1,2,3,4,5
BUR,67-G1,2,2,F,6,0,1,16,12,4,9391,3,4,5,2,1,0
BUR,67-G1,2,3,F,6,0,1,15,12,3,11672,0,1,2,5,4,3
BUR,67-G1,2,4,F,6,0,1,12,4,4,8594,0,1,2,5,4,3
BUR,67-G1,9,1,M,7,0,0,10,8,8,19626,0,1,2,5,4,3
BUR,67-G1,9,2,M,7,0,0,16,12,4,7237,0,1,2,5,4,3
BUR,67-G1,9,3,M,7,0,0,15,12,3,8570,0,1,5,2,4,3
BUR,67-G1,9,4,M,7,0,0,8,4,8,5657,0,1,2,5,3,4
BUR,67-G2,2,3,F,7,0,0,18,12,3,17188,4,0,2,5,1,3
BUR,67-G2,2,2,F,7,0,0,16,12,4,12063,4,1,3,0,5,2
BUR,67-G2,2,1,F,7,0,0,10,8,8,34267,0,3,1,4,2,5
BUR,67-G2,2,4,F,7,0,0,4,4,4,11220,0,3,4,1,2,5
BUR,67-G2,3,3,F,6,1,1,18,12,0,9110,0,3,1,4,2,5
BUR,67-G2,3,2,F,6,1,1,16,12,4,7359,0,3,1,4,2,5
BUR,67-G2,3,1,F,6,1,1,14,12,2,10563,0,3,1,4,2,5
BUR,67-G2,3,4,F,6,1,1,4,4,0,7048,3,0,1,4,2,5
BUR,67-G2,0,3,M,7,2,2,12,12,3,14297,2,1,0,3,4,5
BUR,67-G2,0,2,M,7,2,2,8,4,12,18521,1,0,2,3,4,5
BUR,67-G2,0,1,M,7,2,2,20,12,2,7657,0,1,2,3,4,5
BUR,67-G2,0,4,M,7,2,2,12,4,0,14374,0,1,2,3,4,5
BUR,67-G2,1,3,M,7,0,1,12,12,0,9000,2,5,1,4,3,0
BUR,67-G2,1,2,M,7,0,1,8,4,0,11868,0,1,2,5,4,3
BUR,67-G2,1,1,M,7,0,1,20,12,2,15753,0,1,2,5,4,3
BUR,67-G2,1,4,M,7,0,1,4,4,0,9391,1,2,5,4,3,0
BUR,67-G2,5,3,M,6,0,0,15,12,0,5744,0,1,2,5,4,3
BUR,67-G2,5,2,M,6,0,0,16,12,4,7265,0,1,2,5,4,3
BUR,67-G2,5,1,M,6,0,0,14,12,2,12866,3,4,5,2,1,0
BUR,67-G2,5,4,M,6,0,0,4,4,0,10198,0,4,2,5,1,3
BUR,67-G2,9,3,F,6,0,0,15,12,3,15384,2,3,4,0,1,
BUR,67-G2,9,2,F,6,0,0,16,12,4,14982,0,1,2,5,4,3
BUR,67-G2,9,1,F,6,0,0,20,12,2,16008,0,1,2,4,5,3
BUR,67-G2,9,4,F,6,0,0,12,4,4,12021,0,4,2,5,1,3
BUR,67-G2,10,3,M,6,1,0,6,6,6,6844,0,3,1,4,2,5
BUR,67-G2,10,2,M,6,1,0,8,4,12,6562,0,3,1,4,2,5
BUR,67-G2,10,1,M,6,1,0,10,8,8,6110,0,3,1,4,2,5
BUR,67-G2,10,4,M,6,1,0,4,4,8,6719,0,3,4,1,5,2
BUR,67-G2,8,3,M,6,1,0,15,12,0,12919,1,4,2,5,3,
BUR,67-G2,8,2,M,6,1,0,24,12,4,11542,1,4,5,3,2,0
BUR,67-G2,8,1,M,6,1,0,14,12,2,11384,3,4,5,1,0,
BUR,67-G2,8,4,M,6,1,0,12,4,0,10796,4,3,5,0,2,1
BUR,67-G2,7,3,F,7,0,0,15,12,3,11266,0,3,1,4,2,5
BUR,67-G2,7,2,F,7,0,0,24,12,4,15844,0,3,1,4,2,5
